Run,costO,costS,Strategy,PI,RS
67,0,1.5,Revealers,7198.92,7.44
68,0,1.5,Concealers,7894.12,7.78
68,0,1.5,Revealers,7800.9,7.78
69,0,1.5,Concealers,7621.6,7.74
69,0,1.5,Revealers,6943.56,7.22
70,0,1.5,Concealers,6728.6,7.22
70,0,1.5,Revealers,7127,7.48
71,0,1.5,Concealers,7350.9,7.48
71,0,1.5,Revealers,7548.24,7.64
72,0,1.5,Concealers,7323.24,7.46
72,0,1.5,Revealers,7968.16,7.78
73,0,1.5,Concealers,7931.64,7.72
73,0,1.5,Revealers,7932.8,7.78
74,0,1.5,Concealers,7327.04,7.58
74,0,1.5,Revealers,6858.22,7.3
75,0,1.5,Concealers,7545.5,7.7
75,0,1.5,Revealers,7916.82,7.82
76,0,1.5,Concealers,7625.32,7.54
76,0,1.5,Revealers,7539.24,7.58
77,0,1.5,Concealers,7825.16,7.78
77,0,1.5,Revealers,7466.52,7.56
78,0,1.5,Concealers,7109.66,7.44
78,0,1.5,Revealers,6729.9,7.2
79,0,1.5,Concealers,7047.56,7.32
79,0,1.5,Revealers,6973.3,7.28
80,0,1.5,Concealers,6707.84,7.24
80,0,1.5,Revealers,7200.26,7.5
81,0,2,Concealers,7431.82,7.52
81,0,2,Revealers,7869.5,7.76
82,0,2,Concealers,7880.3,7.76
82,0,2,Revealers,7842.92,7.84
83,0,2,Concealers,7460.14,7.56
83,0,2,Revealers,7526.86,7.58
84,0,2,Concealers,7119.74,7.44
84,0,2,Revealers,8139.82,7.82
85,0,2,Concealers,7002.84,7.34
85,0,2,Revealers,7102.62,7.42
86,0,2,Concealers,7524.26,7.62
86,0,2,Revealers,8162.72,7.86
87,0,2,Concealers,7945.76,7.7
87,0,2,Revealers,8290.64,8
88,0,2,Concealers,7619.66,7.64
88,0,2,Revealers,7992.82,7.86
89,0,2,Concealers,7947.66,7.8
89,0,2,Revealers,7630.96,7.64
90,0,2,Concealers,7520.24,7.66
90,0,2,Revealers,7042,7.36
91,0,2,Concealers,7744.02,7.74
91,0,2,Revealers,7741.88,7.56
92,0,2,Concealers,7382.04,7.48
92,0,2,Revealers,7710.38,7.68
93,0,2,Concealers,7204.04,7.48
93,0,2,Revealers,7341.84,7.58
94,0,2,Concealers,7815.7,7.66
94,0,2,Revealers,7653.88,7.66
95,0,2,Concealers,8141.74,7.88
95,0,2,Revealers,7398.48,7.48
96,0,2,Concealers,7853.16,7.62
96,0,2,Revealers,7625.98,7.64
97,0,2,Concealers,7704.62,7.56
97,0,2,Revealers,7783.94,7.7
98,0,2,Concealers,8065.6,7.76
98,0,2,Revealers,7623.1,7.7
99,0,2,Concealers,7781.92,7.68
99,0,2,Revealers,8529.94,7.96
100,0,2,Concealers,8096.42,7.82
100,0,2,Revealers,7685.86,7.62
101,0.5,0,Concealers,6866.46,6.96
101,0.5,0,Revealers,5046.24,6.22
102,0.5,0,Concealers,6485.6,6.72
102,0.5,0,Revealers,3781.08,5.52
103,0.5,0,Concealers,7477.36,7.34
103,0.5,0,Revealers,5494.86,6.32
104,0.5,0,Concealers,7230.96,7.38
104,0.5,0,Revealers,7032.48,7.22
105,0.5,0,Concealers,6802.52,7.14
105,0.5,0,Revealers,7323.64,7.34
106,0.5,0,Concealers,7524.32,7.32
106,0.5,0,Revealers,5010.64,6.14
107,0.5,0,Concealers,5810.22,6.18
107,0.5,0,Revealers,3079.6,5.12
108,0.5,0,Concealers,7409.14,7.2
108,0.5,0,Revealers,4722.44,5.96
109,0.5,0,Concealers,7451.06,7.32
109,0.5,0,Revealers,5037.82,6.2
110,0.5,0,Concealers,7070.18,7.26
110,0.5,0,Revealers,5564.06,6.58
111,0.5,0,Concealers,7216.36,7.34
111,0.5,0,Revealers,6480.42,6.82
112,0.5,0,Concealers,7046.54,6.98
112,0.5,0,Revealers,3751.36,5.46
113,0.5,0,Concealers,7807.44,7.4
113,0.5,0,Revealers,6035.24,6.68
114,0.5,0,Concealers,5379.86,6.14
114,0.5,0,Revealers,3102.2,5.16
115,0.5,0,Concealers,7528.24,7.38
115,0.5,0,Revealers,6824.26,7.12
116,0.5,0,Concealers,6478.04,6.98
116,0.5,0,Revealers,6076.08,6.64
117,0.5,0,Concealers,7321.68,7.28
117,0.5,0,Revealers,6276.22,6.9
118,0.5,0,Concealers,7676.26,7.46
118,0.5,0,Revealers,4592.06,6
119,0.5,0,Concealers,7389.7,7.3
119,0.5,0,Revealers,5611.54,6.5
120,0.5,0,Concealers,6862,6.86
120,0.5,0,Revealers,4858.7,6.04
121,0.5,0.5,Concealers,7137.28,7.2
121,0.5,0.5,Revealers,4316.64,5.92
122,0.5,0.5,Concealers,7423.92,7.44
122,0.5,0.5,Revealers,6083.42,6.78
123,0.5,0.5,Concealers,9024.38,8.12
123,0.5,0.5,Revealers,6110.78,6.78
124,0.5,0.5,Concealers,6758.24,6.94
124,0.5,0.5,Revealers,4265.34,5.82
125,0.5,0.5,Concealers,6638.2,6.92
125,0.5,0.5,Revealers,4907.7,6.14
126,0.5,0.5,Concealers,7162.46,7.38
126,0.5,0.5,Revealers,6263.8,6.8
127,0.5,0.5,Concealers,5667.56,6.48
127,0.5,0.5,Revealers,4550.68,5.9
128,0.5,0.5,Concealers,7418.78,7.32
128,0.5,0.5,Revealers,6370.46,6.8
129,0.5,0.5,Concealers,6360.88,6.72
129,0.5,0.5,Revealers,4445.42,5.8
130,0.5,0.5,Concealers,7707.36,7.54
130,0.5,0.5,Revealers,5923.56,6.74
131,0.5,0.5,Concealers,8170.54,7.82
131,0.5,0.5,Revealers,7448.2,7.32
132,0.5,0.5,Concealers,7340.46,7.14
132,0.5,0.5,Revealers,5370.86,6.26
133,0.5,0.5,Concealers,6533.02,6.8
133,0.5,0.5,Revealers,5786.12,6.54
134,0.5,0.5,Concealers,8260.56,7.64
134,0.5,0.5,Revealers,6026.8,6.76
135,0.5,0.5,Concealers,7496.44,7.26
135,0.5,0.5,Revealers,5566.54,6.46
136,0.5,0.5,Concealers,7747.98,7.64
136,0.5,0.5,Revealers,6909.38,7.12
137,0.5,0.5,Concealers,7968.08,7.5
137,0.5,0.5,Revealers,4961.06,6.12
