Run,Sens,Strategy,PI,RS
378,41,Concealers,8209.66,6.92
378,41,Revealers,5074.7,5.02
379,41,Concealers,7112.6,6.3
379,41,Revealers,5209.2,5.38
380,41,Concealers,7644.8,6.7
380,41,Revealers,5158.22,5.22
481,51,Concealers,6708.06,5.84
481,51,Revealers,3662.72,4.04
482,51,Concealers,6679.04,5.88
482,51,Revealers,4933.2,4.76
483,51,Concealers,6623.84,5.84
483,51,Revealers,3877.08,4.2
484,51,Concealers,6687.12,5.9
484,51,Revealers,3755.12,4.2
485,51,Concealers,7184.8,6.02
485,51,Revealers,4127.7,4.14
486,51,Concealers,7255.24,6.02
486,51,Revealers,4074.4,4.2
487,51,Concealers,7523.82,6.22
487,51,Revealers,4280.28,4.3
488,51,Concealers,6464.04,5.84
488,51,Revealers,3644.82,4.04
489,51,Concealers,7140.18,5.94
489,51,Revealers,5030.34,4.86
490,51,Concealers,7021.44,6.16
490,51,Revealers,4168.56,4.38
491,51,Concealers,5556.5,5.12
491,51,Revealers,3295.64,3.76
492,51,Concealers,6737.22,5.84
492,51,Revealers,4054.84,4.32
493,51,Concealers,5403.3,5.14
493,51,Revealers,2773.4,3.38
494,51,Concealers,7048.4,5.9
494,51,Revealers,3956.68,4.26
495,51,Concealers,6556.24,5.88
495,51,Revealers,4041.56,4.42
496,51,Concealers,6770.74,6.06
496,51,Revealers,4877.94,4.78
497,51,Concealers,7373.24,6.2
497,51,Revealers,4469.14,4.48
498,51,Concealers,6825.56,6.06
498,51,Revealers,4398.06,4.64
499,51,Concealers,7030.04,6.24
499,51,Revealers,4459.48,4.54
500,51,Concealers,6940.02,5.94
500,51,Revealers,4049.08,4.34
