Experiment,Run,Decrement,Strategy,PI,RS
1,61,TRUE,Concealers,6312.56,6.7
1,61,TRUE,Revealers,4790.54,5.98
1,62,TRUE,Concealers,5287.6,6.14
1,62,TRUE,Revealers,4543.38,5.88
1,63,TRUE,Concealers,7744.84,7.52
1,63,TRUE,Revealers,6579.24,7.04
1,64,TRUE,Concealers,6664.58,7.02
1,64,TRUE,Revealers,5323.04,6.4
1,65,TRUE,Concealers,5634.72,6.58
1,65,TRUE,Revealers,7946.68,7.5
1,66,TRUE,Concealers,6378.58,6.9
1,66,TRUE,Revealers,7433.04,7.34
1,67,TRUE,Concealers,4805.94,6.08
1,67,TRUE,Revealers,7122.3,7.04
1,68,TRUE,Concealers,6058.22,6.52
1,68,TRUE,Revealers,4597.44,5.92
1,69,TRUE,Concealers,7143.8,7.2
1,69,TRUE,Revealers,5900.46,6.64
1,70,TRUE,Concealers,5530.96,6.34
1,70,TRUE,Revealers,3966.74,5.64
1,71,TRUE,Concealers,7054.78,7.1
1,71,TRUE,Revealers,5487.72,6.44
1,72,TRUE,Concealers,7531.66,7.32
1,72,TRUE,Revealers,5810.02,6.64
1,73,TRUE,Concealers,7073.82,7.32
1,73,TRUE,Revealers,6870.74,6.96
1,74,TRUE,Concealers,5725.34,6.26
1,74,TRUE,Revealers,3255.82,5.24
1,75,TRUE,Concealers,6644.58,6.98
1,75,TRUE,Revealers,6182.82,6.72
1,76,TRUE,Concealers,6511.14,6.9
1,76,TRUE,Revealers,7001.96,7.16
1,77,TRUE,Concealers,5999.6,6.66
1,77,TRUE,Revealers,5785.48,6.62
1,78,TRUE,Concealers,5509.84,6.44
1,78,TRUE,Revealers,6686.64,6.96
1,79,TRUE,Concealers,6097.36,6.68
1,79,TRUE,Revealers,4418.8,5.78
1,80,TRUE,Concealers,5221.58,6.08
1,80,TRUE,Revealers,4002.76,5.64
1,81,TRUE,Concealers,7599.62,7.58
1,81,TRUE,Revealers,6045,6.62
1,82,TRUE,Concealers,7356.28,7.26
1,82,TRUE,Revealers,5665,6.5
1,83,TRUE,Concealers,5450.8,6.32
1,83,TRUE,Revealers,5863.1,6.6
1,84,TRUE,Concealers,7032.54,7.22
1,84,TRUE,Revealers,4766.26,6.14
1,85,TRUE,Concealers,6430.76,6.96
1,85,TRUE,Revealers,6022.78,6.66
1,86,TRUE,Concealers,6974.62,7.34
1,86,TRUE,Revealers,7528,7.38
1,87,TRUE,Concealers,6540.7,6.78
1,87,TRUE,Revealers,5550.04,6.5
1,88,TRUE,Concealers,5856.54,6.5
1,88,TRUE,Revealers,4349.8,5.86
1,89,TRUE,Concealers,7715.88,7.52
1,89,TRUE,Revealers,5873.5,6.62
1,90,TRUE,Concealers,6908.44,7.14
1,90,TRUE,Revealers,5829.16,6.62
1,91,TRUE,Concealers,6126.54,6.52
1,91,TRUE,Revealers,4785.22,6.16
1,92,TRUE,Concealers,6312.32,6.72
1,92,TRUE,Revealers,4868.08,6.2
1,93,TRUE,Concealers,6688.16,6.82
1,93,TRUE,Revealers,4412.4,5.82
1,94,TRUE,Concealers,7165.84,7.14
1,94,TRUE,Revealers,6183.06,6.86
1,95,TRUE,Concealers,4862.68,6.02
1,95,TRUE,Revealers,6059.42,6.48
1,96,TRUE,Concealers,6688.14,7.02
1,96,TRUE,Revealers,4984.8,6.24
1,97,TRUE,Concealers,5845.52,6.64
1,97,TRUE,Revealers,6680.74,6.96
1,98,TRUE,Concealers,7497.68,7.44
1,98,TRUE,Revealers,6268.48,6.82
1,99,TRUE,Concealers,6829.52,7.1
1,99,TRUE,Revealers,5046.96,6.3
1,100,TRUE,Concealers,6268.66,6.74
1,100,TRUE,Revealers,4618.84,5.88
1,101,FALSE,Concealers,7608.28,7.56
1,101,FALSE,Revealers,7059.14,7.1
1,102,FALSE,Concealers,6093.26,6.52
1,102,FALSE,Revealers,5159.48,6.22
1,103,FALSE,Concealers,7033.66,7.1
1,103,FALSE,Revealers,5340.04,6.42
1,104,FALSE,Concealers,6274.2,6.64
1,104,FALSE,Revealers,5931.34,6.56
1,105,FALSE,Concealers,5370.7,6.5
1,105,FALSE,Revealers,7214.62,7.3
1,106,FALSE,Concealers,7021.34,7.2
1,106,FALSE,Revealers,7163.64,7.16
1,107,FALSE,Concealers,4982.9,6.12
1,107,FALSE,Revealers,4202.02,5.76
1,108,FALSE,Concealers,7631.44,7.48
1,108,FALSE,Revealers,6182.64,6.72
1,109,FALSE,Concealers,4538.58,5.92
1,109,FALSE,Revealers,6895.02,7.14
1,110,FALSE,Concealers,6464.72,6.92
1,110,FALSE,Revealers,6425.42,6.86
1,111,FALSE,Concealers,6667.12,7.06
1,111,FALSE,Revealers,5869.12,6.68
1,112,FALSE,Concealers,6351.92,6.88
1,112,FALSE,Revealers,6754.66,7.08
1,113,FALSE,Concealers,4745.2,6.04
1,113,FALSE,Revealers,6286.3,6.58
1,114,FALSE,Concealers,6191.4,6.8
1,114,FALSE,Revealers,5486.7,6.52
1,115,FALSE,Concealers,3822.1,5.56
1,115,FALSE,Revealers,6734.68,6.88
1,116,FALSE,Concealers,4451,5.9
1,116,FALSE,Revealers,6018.96,6.6
1,117,FALSE,Concealers,7490.06,7.38
1,117,FALSE,Revealers,4707.8,5.92
1,118,FALSE,Concealers,4710.48,6.04
1,118,FALSE,Revealers,6116.22,6.7
1,119,FALSE,Concealers,6631.2,6.96
1,119,FALSE,Revealers,6964.28,7.24
1,120,FALSE,Concealers,5220.52,6.32
1,120,FALSE,Revealers,6377.9,6.72
1,121,FALSE,Concealers,6968.2,7.18
1,121,FALSE,Revealers,7750.72,7.58
1,122,FALSE,Concealers,7603.28,7.46
1,122,FALSE,Revealers,5820.2,6.7
1,123,FALSE,Concealers,6473.68,6.86
1,123,FALSE,Revealers,5318.7,6.28
1,124,FALSE,Concealers,5890.9,6.56
1,124,FALSE,Revealers,7313.64,7.36
1,125,FALSE,Concealers,5280.2,6.26
1,125,FALSE,Revealers,6462.58,6.8
1,126,FALSE,Concealers,3321.96,5.24
1,126,FALSE,Revealers,5277.9,6.04
1,127,FALSE,Concealers,5312.18,6.2
1,127,FALSE,Revealers,6302.4,6.58
1,128,FALSE,Concealers,6987.92,7.16
1,128,FALSE,Revealers,5482.24,6.46
1,129,FALSE,Concealers,7056,7.18
1,129,FALSE,Revealers,7165,7.32
1,130,FALSE,Concealers,6523.14,6.78
1,130,FALSE,Revealers,5243.22,6.36
1,131,FALSE,Concealers,6958.6,7.24
1,131,FALSE,Revealers,5963.2,6.64
1,132,FALSE,Concealers,6485.4,6.88
1,132,FALSE,Revealers,5986.44,6.66
1,133,FALSE,Concealers,6153.3,6.74
1,133,FALSE,Revealers,7801.88,7.52
1,134,FALSE,Concealers,6007.1,6.72
1,134,FALSE,Revealers,7824.56,7.56
1,135,FALSE,Concealers,7872.74,7.58
1,135,FALSE,Revealers,6228.02,6.94
1,136,FALSE,Concealers,5470.42,6.3
1,136,FALSE,Revealers,5988.52,6.6
1,137,FALSE,Concealers,5145.72,6.28
1,137,FALSE,Revealers,6995.88,7.1
1,138,FALSE,Concealers,5699.26,6.48
1,138,FALSE,Revealers,6838.7,7.06
1,139,FALSE,Concealers,4813.92,6.16
1,139,FALSE,Revealers,6116.54,6.58
1,140,FALSE,Concealers,5761.9,6.56
1,140,FALSE,Revealers,6118.26,6.72
1,141,FALSE,Concealers,6226.46,6.8
1,141,FALSE,Revealers,8241.46,7.88
1,142,FALSE,Concealers,7322.08,7.34
1,142,FALSE,Revealers,7028.32,7.32
1,143,FALSE,Concealers,6551.46,6.94
1,143,FALSE,Revealers,4983.84,6.28
1,144,FALSE,Concealers,5529.94,6.46
1,144,FALSE,Revealers,7002.48,7.18
1,145,FALSE,Concealers,5711.78,6.38
1,145,FALSE,Revealers,4573.6,5.94
1,146,FALSE,Concealers,5933.22,6.6
1,146,FALSE,Revealers,6254.82,6.74
1,147,FALSE,Concealers,5771.06,6.62
1,147,FALSE,Revealers,7089.74,7.26
1,148,FALSE,Concealers,6806.42,7.1
1,148,FALSE,Revealers,6274.48,6.88
1,149,FALSE,Concealers,5350.2,6.24
1,149,FALSE,Revealers,6260.74,6.74
1,150,FALSE,Concealers,6716.3,6.96
1,150,FALSE,Revealers,6470.16,6.9
1,151,FALSE,Concealers,5246.36,6.24
1,151,FALSE,Revealers,6991.04,7.2
1,152,FALSE,Concealers,3856.26,5.58
1,152,FALSE,Revealers,5665.52,6.36
1,153,FALSE,Concealers,4291.48,5.76
1,153,FALSE,Revealers,6759.54,6.96
1,154,FALSE,Concealers,5917.18,6.64
1,154,FALSE,Revealers,5336.8,6.36
1,155,FALSE,Concealers,5728.7,6.62
1,155,FALSE,Revealers,7163.4,7.24
1,156,FALSE,Concealers,5833.06,6.38
1,156,FALSE,Revealers,4848.62,6.06
1,157,FALSE,Concealers,7453.7,7.42
1,157,FALSE,Revealers,5820.98,6.64
1,158,FALSE,Concealers,6423.44,6.74
1,158,FALSE,Revealers,5241.82,6.32
1,159,FALSE,Concealers,5092.7,6.2
1,159,FALSE,Revealers,6530.04,6.92
1,160,FALSE,Concealers,5138.36,6.26
1,160,FALSE,Revealers,6794.98,7.08
1,161,FALSE,Concealers,4292.1,5.86
1,161,FALSE,Revealers,6190.16,6.64
1,162,FALSE,Concealers,5903.6,6.52
1,162,FALSE,Revealers,8039.24,7.66
1,163,FALSE,Concealers,6283.04,6.84
1,163,FALSE,Revealers,6478.8,6.96
1,164,FALSE,Concealers,7136.4,7.2
1,164,FALSE,Revealers,6601.56,6.96
1,165,FALSE,Concealers,7950.82,7.52
1,165,FALSE,Revealers,6611.06,7.02
1,166,FALSE,Concealers,7568.32,7.46
1,166,FALSE,Revealers,7969.66,7.7
1,167,FALSE,Concealers,6429.92,6.68
1,167,FALSE,Revealers,4227.42,5.78
1,168,FALSE,Concealers,6222.16,6.68
1,168,FALSE,Revealers,4832.82,6.14
1,169,FALSE,Concealers,6173,6.76
1,169,FALSE,Revealers,5437.38,6.46
1,170,FALSE,Concealers,5878.78,6.32
1,170,FALSE,Revealers,3735.6,5.5
1,171,FALSE,Concealers,3157.64,5.36
1,171,FALSE,Revealers,5475.08,6.22
1,172,FALSE,Concealers,7886.2,7.52
1,172,FALSE,Revealers,5894.74,6.64
1,173,FALSE,Concealers,4364.66,5.72
1,173,FALSE,Revealers,6745.74,7.06
1,174,FALSE,Concealers,7114.78,7.2
1,174,FALSE,Revealers,7013.9,7.2
1,175,FALSE,Concealers,5694.9,6.54
1,175,FALSE,Revealers,8293.46,7.76
1,176,FALSE,Concealers,6213.26,6.82
1,176,FALSE,Revealers,5496.58,6.36
1,177,FALSE,Concealers,5836.3,6.68
1,177,FALSE,Revealers,7017.54,7.16
1,178,FALSE,Concealers,5246.4,6.32
1,178,FALSE,Revealers,7334,7.32
1,179,FALSE,Concealers,6641.08,6.86
1,179,FALSE,Revealers,5441.12,6.4
1,180,FALSE,Concealers,6509.4,6.92
1,180,FALSE,Revealers,5750.92,6.7
1,181,FALSE,Concealers,5905.24,6.36
1,181,FALSE,Revealers,3797.82,5.52
1,182,FALSE,Concealers,5992.14,6.66
1,182,FALSE,Revealers,6253.42,6.84
1,183,FALSE,Concealers,5431.46,6.36
1,183,FALSE,Revealers,6904.28,7.08
1,184,FALSE,Concealers,5806.6,6.42
1,184,FALSE,Revealers,4325.24,5.86
1,185,FALSE,Concealers,6730.32,7
1,185,FALSE,Revealers,5848.26,6.54
1,186,FALSE,Concealers,6528.5,6.72
1,186,FALSE,Revealers,5104.3,6.28
1,187,FALSE,Concealers,5442.96,6.32
1,187,FALSE,Revealers,6154.28,6.6
1,188,FALSE,Concealers,6812.24,6.96
1,188,FALSE,Revealers,5973.22,6.74
1,189,FALSE,Concealers,5012.22,6.2
1,189,FALSE,Revealers,6747.94,6.88
1,190,FALSE,Concealers,4877.08,6.04
1,190,FALSE,Revealers,7046.2,7
1,191,FALSE,Concealers,5551.64,6.46
1,191,FALSE,Revealers,6227.64,6.82
1,192,FALSE,Concealers,5237.76,6.24
1,192,FALSE,Revealers,5403.42,6.14
1,193,FALSE,Concealers,5787.88,6.46
1,193,FALSE,Revealers,4508.24,5.8
1,194,FALSE,Concealers,5839.88,6.36
1,194,FALSE,Revealers,3206.46,5.14
1,195,FALSE,Concealers,5237.64,6.26
1,195,FALSE,Revealers,6438.58,6.8
1,196,FALSE,Concealers,7149.24,7.14
1,196,FALSE,Revealers,5119.8,6.22
1,197,FALSE,Concealers,6841.92,7.02
1,197,FALSE,Revealers,5078.92,6.28
1,198,FALSE,Concealers,5656.06,6.64
1,198,FALSE,Revealers,8035.12,7.72
1,199,FALSE,Concealers,5288.86,6.3
1,199,FALSE,Revealers,7224.56,7.2
1,200,FALSE,Concealers,6083,6.62
1,200,FALSE,Revealers,5934.62,6.66
2,201,TRUE,Concealers,6797.22,7.2
2,201,TRUE,Revealers,6898.76,7.14
2,202,TRUE,Concealers,6540.46,6.96
2,202,TRUE,Revealers,7721.82,7.56
2,203,TRUE,Concealers,7155.78,7.32
2,203,TRUE,Revealers,7757.5,7.48
2,204,TRUE,Concealers,7062.24,7.36
2,204,TRUE,Revealers,7286.14,7.54
2,205,TRUE,Concealers,7623.1,7.5
2,205,TRUE,Revealers,7735.04,7.58
2,206,TRUE,Concealers,7222.04,7.32
2,206,TRUE,Revealers,7311.2,7.4
2,207,TRUE,Concealers,7468.22,7.38
2,207,TRUE,Revealers,7159.38,7.34
2,208,TRUE,Concealers,6707.18,7.16
2,208,TRUE,Revealers,7758.76,7.68
2,209,TRUE,Concealers,7115.96,7.36
2,209,TRUE,Revealers,7517.34,7.48
2,210,TRUE,Concealers,6412.08,7.08
2,210,TRUE,Revealers,7383.82,7.4
2,211,TRUE,Concealers,8574.56,7.84
2,211,TRUE,Revealers,7567.28,7.54
2,212,TRUE,Concealers,7097.78,7.28
2,212,TRUE,Revealers,7499.88,7.4
2,213,TRUE,Concealers,7132.88,7.32
2,213,TRUE,Revealers,6809.4,7.18
2,214,TRUE,Concealers,7116.46,7.34
2,214,TRUE,Revealers,6186.18,6.86
2,215,TRUE,Concealers,7580.72,7.42
2,215,TRUE,Revealers,6758.22,7.1
2,216,TRUE,Concealers,7000.42,7.3
2,216,TRUE,Revealers,7321.06,7.3
2,217,TRUE,Concealers,7305.66,7.36
2,217,TRUE,Revealers,7342.7,7.52
2,218,TRUE,Concealers,7647.06,7.62
2,218,TRUE,Revealers,7288.94,7.4
2,219,TRUE,Concealers,6666.8,7.16
2,219,TRUE,Revealers,7642.28,7.44
2,220,TRUE,Concealers,7319.62,7.44
2,220,TRUE,Revealers,7577.34,7.54
2,221,TRUE,Concealers,6790.82,7.22
2,221,TRUE,Revealers,6577.88,7
2,222,TRUE,Concealers,7487.86,7.34
2,222,TRUE,Revealers,7138.06,7.28
2,223,TRUE,Concealers,7164.68,7.32
2,223,TRUE,Revealers,7549.88,7.58
2,224,TRUE,Concealers,7175.28,7.3
2,224,TRUE,Revealers,7725.3,7.6
2,225,TRUE,Concealers,7363.28,7.4
2,225,TRUE,Revealers,6584.68,6.94
2,226,TRUE,Concealers,7226.02,7.28
2,226,TRUE,Revealers,6917.66,7.26
2,227,TRUE,Concealers,7106.36,7.42
2,227,TRUE,Revealers,7090.62,7.36
2,228,TRUE,Concealers,7188.36,7.28
2,228,TRUE,Revealers,6754.34,7.14
2,229,TRUE,Concealers,7028.04,7.3
2,229,TRUE,Revealers,7564.94,7.46
2,230,TRUE,Concealers,8155.12,7.78
2,230,TRUE,Revealers,6551.94,7.06
2,231,TRUE,Concealers,7899.62,7.62
2,231,TRUE,Revealers,7076.64,7.2
2,232,TRUE,Concealers,6991.08,7.3
2,232,TRUE,Revealers,6845.02,7.22
2,233,TRUE,Concealers,7641.58,7.56
2,233,TRUE,Revealers,7932.16,7.74
2,234,TRUE,Concealers,6732.16,7.18
2,234,TRUE,Revealers,6730.86,7.14
2,235,TRUE,Concealers,7820.48,7.44
2,235,TRUE,Revealers,6714.84,7.14
2,236,TRUE,Concealers,7571,7.38
2,236,TRUE,Revealers,7397.78,7.42
2,237,TRUE,Concealers,7395.68,7.34
2,237,TRUE,Revealers,7863.28,7.66
2,238,TRUE,Concealers,6707.92,7.04
2,238,TRUE,Revealers,6852.54,7.18
2,239,TRUE,Concealers,7656.56,7.44
2,239,TRUE,Revealers,7932.28,7.54
2,240,TRUE,Concealers,6604.98,7
2,240,TRUE,Revealers,7182.1,7.34
2,241,TRUE,Concealers,7095.28,7.22
2,241,TRUE,Revealers,5997.58,6.72
2,242,TRUE,Concealers,7473.64,7.46
2,242,TRUE,Revealers,8254.08,7.82
2,243,TRUE,Concealers,8390.24,7.9
2,243,TRUE,Revealers,7363.46,7.48
2,244,TRUE,Concealers,7650.94,7.58
2,244,TRUE,Revealers,6651.22,7.14
2,245,TRUE,Concealers,7136.02,7.24
2,245,TRUE,Revealers,6502.1,6.92
2,246,TRUE,Concealers,7199.18,7.36
2,246,TRUE,Revealers,6912.62,7.16
2,247,TRUE,Concealers,6767.24,7.24
2,247,TRUE,Revealers,6864.36,7.18
2,248,TRUE,Concealers,8065.34,7.66
2,248,TRUE,Revealers,7425.42,7.32
2,249,TRUE,Concealers,6878.96,7.28
2,249,TRUE,Revealers,7600.84,7.54
2,250,TRUE,Concealers,7472.26,7.6
2,250,TRUE,Revealers,6266.14,6.9
2,251,TRUE,Concealers,8008.08,7.76
2,251,TRUE,Revealers,7947.94,7.68
2,252,TRUE,Concealers,7610.22,7.44
2,252,TRUE,Revealers,7931.9,7.76
2,253,TRUE,Concealers,7095.1,7.24
2,253,TRUE,Revealers,7730.8,7.64
2,254,TRUE,Concealers,6831.66,7.22
2,254,TRUE,Revealers,8131.86,7.68
2,255,TRUE,Concealers,7892.96,7.6
2,255,TRUE,Revealers,6993.56,7.14
2,256,TRUE,Concealers,7526.16,7.42
2,256,TRUE,Revealers,7351.64,7.46
2,257,TRUE,Concealers,7007.08,7.24
2,257,TRUE,Revealers,7081.04,7.26
2,258,TRUE,Concealers,7947.32,7.64
2,258,TRUE,Revealers,7205.1,7.32
2,259,TRUE,Concealers,8323.14,7.74
2,259,TRUE,Revealers,7696.98,7.54
2,260,TRUE,Concealers,6744.86,7.16
2,260,TRUE,Revealers,7081.4,7.26
2,261,TRUE,Concealers,7343.16,7.22
2,261,TRUE,Revealers,7315.02,7.32
2,262,TRUE,Concealers,8244.84,7.96
2,262,TRUE,Revealers,6864.2,7.18
2,263,TRUE,Concealers,7126.12,7.24
2,263,TRUE,Revealers,6903.72,7.2
