Run,Sens,Strategy,PI,RS
72,0.3,Revealers,4851.32,6.22
73,0.3,Concealers,7106.78,7.26
73,0.3,Revealers,8250.58,7.78
74,0.3,Concealers,6419.72,6.86
74,0.3,Revealers,5340.74,6.36
75,0.3,Concealers,7298.46,7.34
75,0.3,Revealers,6715.4,7.16
76,0.3,Concealers,7171.46,7.28
76,0.3,Revealers,6557.44,6.94
77,0.3,Concealers,6664.56,6.84
77,0.3,Revealers,5246.24,6.22
78,0.3,Concealers,7481.34,7.44
78,0.3,Revealers,6548.88,6.94
79,0.3,Concealers,6474.78,6.94
79,0.3,Revealers,6717.92,7.12
80,0.3,Concealers,7083.7,7.1
80,0.3,Revealers,5011.24,6.18
81,0.4,Concealers,6463.02,6.74
81,0.4,Revealers,4387.98,5.8
82,0.4,Concealers,6967.88,7.24
82,0.4,Revealers,7117.14,7.26
83,0.4,Concealers,5145.34,6.04
83,0.4,Revealers,4301.76,5.8
84,0.4,Concealers,7325.16,7.3
84,0.4,Revealers,6849.92,7.12
85,0.4,Concealers,7019.66,7.22
85,0.4,Revealers,6043.62,6.68
86,0.4,Concealers,5381.44,6.12
86,0.4,Revealers,4254.04,5.84
87,0.4,Concealers,7252.62,7.38
87,0.4,Revealers,6282.52,6.82
88,0.4,Concealers,7701.88,7.6
88,0.4,Revealers,5935.22,6.76
89,0.4,Concealers,7393.56,7.36
89,0.4,Revealers,6605.78,6.94
90,0.4,Concealers,5690.64,6.6
90,0.4,Revealers,7645.54,7.46
91,0.4,Concealers,6738.86,6.92
91,0.4,Revealers,4786.52,6.06
92,0.4,Concealers,5545.54,6.22
92,0.4,Revealers,4693.16,5.94
93,0.4,Concealers,6412.06,6.96
93,0.4,Revealers,6975.54,7.2
94,0.4,Concealers,6244.12,6.76
94,0.4,Revealers,7187.1,7.34
95,0.4,Concealers,6930.26,6.96
95,0.4,Revealers,5558.74,6.38
96,0.4,Concealers,6411.04,6.84
96,0.4,Revealers,5561.46,6.58
97,0.4,Concealers,5724.58,6.54
97,0.4,Revealers,7417.4,7.46
98,0.4,Concealers,6516.06,6.84
98,0.4,Revealers,6064.38,6.74
99,0.4,Concealers,7139.02,7.2
99,0.4,Revealers,7018.7,7.24
100,0.4,Concealers,7180.18,7.16
100,0.4,Revealers,4194.94,5.9
101,0.5,Concealers,6336.3,6.72
101,0.5,Revealers,5642.38,6.4
102,0.5,Concealers,7414.24,7.36
102,0.5,Revealers,6520.88,6.96
103,0.5,Concealers,5121.24,5.68
103,0.5,Revealers,2327.4,4.58
104,0.5,Concealers,7422.7,7.28
104,0.5,Revealers,5361.66,6.28
105,0.5,Concealers,5140.46,6.36
105,0.5,Revealers,7140.44,7.08
106,0.5,Concealers,6618.94,6.98
106,0.5,Revealers,5132.24,6.16
