Run,Sens,Strategy,PI,RS
75,0.25,Revealers,6967.12,6.64
76,0.25,Concealers,14993.2,10.72
76,0.25,Revealers,15829.56,10
77,0.25,Concealers,17226.92,10.44
77,0.25,Revealers,8826.48,7.92
78,0.25,Concealers,17853.68,10.76
78,0.25,Revealers,6965.76,6.92
79,0.25,Concealers,18873.4,11.04
79,0.25,Revealers,8487.12,7.56
80,0.25,Concealers,15478.96,9.76
80,0.25,Revealers,8001.96,7.48
81,0,Concealers,0,0
81,0,Revealers,0,0
82,0,Concealers,0,0
82,0,Revealers,0,0
83,0,Concealers,0,0
83,0,Revealers,0,0
84,0,Concealers,0,0
84,0,Revealers,0,0
85,0,Concealers,0,0
85,0,Revealers,0,0
86,0,Concealers,0,0
86,0,Revealers,0,0
87,0,Concealers,0,0
87,0,Revealers,0,0
88,0,Concealers,0,0
88,0,Revealers,0,0
89,0,Concealers,0,0
89,0,Revealers,0,0
90,0,Concealers,0,0
90,0,Revealers,0,0
91,0,Concealers,0,0
91,0,Revealers,0,0
92,0,Concealers,0,0
92,0,Revealers,0,0
93,0,Concealers,0,0
93,0,Revealers,0,0
94,0,Concealers,0,0
94,0,Revealers,0,0
95,0,Concealers,0,0
95,0,Revealers,0,0
96,0,Concealers,0,0
96,0,Revealers,0,0
97,0,Concealers,0,0
97,0,Revealers,0,0
98,0,Concealers,0,0
98,0,Revealers,0,0
99,0,Concealers,0,0
99,0,Revealers,0,0
100,0,Concealers,0,0
100,0,Revealers,0,0
