Run,Sens,Strategy,PI,RS
76,400,Revealers,4233.86,6
77,400,Concealers,7797.79,7.85
77,400,Revealers,5133.27,6.55
78,400,Concealers,8340.44,8.01
78,400,Revealers,5714.78,6.9
79,400,Concealers,6943.01,7.08
79,400,Revealers,3660.67,5.89
80,400,Concealers,6563.53,7.07
80,400,Revealers,5306.67,6.66
81,500,Concealers,7625.728,7.504
81,500,Revealers,4279.76,6.256
82,500,Concealers,8146.504,7.888
82,500,Revealers,5926.48,7.04
83,500,Concealers,7012.736,6.96
83,500,Revealers,3777.832,5.944
84,500,Concealers,8378.832,7.96
84,500,Revealers,4735.52,6.496
85,500,Concealers,8558.048,8.008
85,500,Revealers,6204.056,7.2
86,500,Concealers,7256.6,7.04
86,500,Revealers,3983.432,6.08
87,500,Concealers,7137.096,7.52
87,500,Revealers,5794.488,6.832
88,500,Concealers,7336.84,7.656
88,500,Revealers,6159.064,7.032
89,500,Concealers,6914.528,7.288
89,500,Revealers,5540.384,6.68
90,500,Concealers,7448.552,7.824
90,500,Revealers,7073.72,7.488
91,500,Concealers,6537.288,7.16
91,500,Revealers,4694.664,6.32
92,500,Concealers,7113.8,7.56
92,500,Revealers,6026.48,6.936
93,500,Concealers,8007.968,7.608
93,500,Revealers,5096.808,6.624
94,500,Concealers,6280.52,6.456
94,500,Revealers,3149.232,5.672
95,500,Concealers,8567.968,8.176
95,500,Revealers,5577.112,6.912
96,500,Concealers,6642.216,6.96
96,500,Revealers,4876.2,6.368
97,500,Concealers,7634.672,7.896
97,500,Revealers,7378.576,7.592
98,500,Concealers,6320.272,6.76
98,500,Revealers,4583.928,6.288
99,500,Concealers,7350.784,7.656
99,500,Revealers,5705.992,6.792
100,500,Concealers,7125.688,6.992
100,500,Revealers,3280.224,5.672
101,600,Concealers,7656.673333,7.126666667
101,600,Revealers,4086.546667,6.126666667
102,600,Concealers,6481.526667,7.173333333
102,600,Revealers,5987.013333,6.853333333
103,600,Concealers,7524.686667,7.866666667
103,600,Revealers,7357,7.706666667
104,600,Concealers,7467.76,7.82
104,600,Revealers,6155.833333,6.966666667
105,600,Concealers,8507.46,8.146666667
105,600,Revealers,5879.56,7.133333333
106,600,Concealers,7003.5,7.626666667
106,600,Revealers,7461.78,7.646666667
107,600,Concealers,6912.006667,6.54
107,600,Revealers,2845.526667,5.526666667
108,600,Concealers,6467.573333,7
108,600,Revealers,5173.9,6.473333333
109,600,Concealers,6744.566667,7.34
109,600,Revealers,5867.14,6.873333333
110,600,Concealers,8067,7.913333333
110,600,Revealers,5527.08,6.846666667
111,600,Concealers,8230.053333,7.933333333
111,600,Revealers,5426.273333,6.886666667
112,600,Concealers,6964.393333,6.72
112,600,Revealers,3186.013333,5.686666667
113,600,Concealers,8067.12,7.68
113,600,Revealers,4951.546667,6.653333333
114,600,Concealers,8076.213333,7.76
114,600,Revealers,4873.46,6.586666667
115,600,Concealers,7105.566667,7.28
115,600,Revealers,5135.433333,6.426666667
116,600,Concealers,6024.306667,6.253333333
116,600,Revealers,4195.053333,5.953333333
117,600,Concealers,7770.906667,7.3
117,600,Revealers,4431.18,6.386666667
118,600,Concealers,7084.313333,7.593333333
118,600,Revealers,5859.033333,6.886666667
119,600,Concealers,7759.746667,7.98
119,600,Revealers,7531.386667,7.686666667
120,600,Concealers,6505.52,6.64
120,600,Revealers,4078.9,5.933333333
