"Run","competitor_radius","search_radius","Strategy","PI","RS"
331,2,5,"Revealers",6755.58,6.82
332,2,5,"Concealers",8449,7.42
332,2,5,"Revealers",5230.42,6.18
333,2,5,"Concealers",5174.42,5.8
333,2,5,"Revealers",3821.6,5.18
334,2,5,"Concealers",6443.52,6.76
334,2,5,"Revealers",5297.96,6.14
335,2,5,"Concealers",4842.1,5.52
335,2,5,"Revealers",2798.72,4.84
336,2,5,"Concealers",7515.62,7.34
336,2,5,"Revealers",6480.18,6.78
337,2,5,"Concealers",6322.6,6.66
337,2,5,"Revealers",4812.26,5.86
338,2,5,"Concealers",8095.76,7.44
338,2,5,"Revealers",6473.02,6.7
339,2,5,"Concealers",6191.62,6.54
339,2,5,"Revealers",5224.96,5.98
340,2,5,"Concealers",7447.58,7.26
340,2,5,"Revealers",6785.6,6.84
341,2,5,"Concealers",6805.8,7.02
341,2,5,"Revealers",6236.06,6.64
342,2,5,"Concealers",6073.1,6.4
342,2,5,"Revealers",4154.74,5.5
343,2,5,"Concealers",5539.4,6.08
343,2,5,"Revealers",5071.86,5.8
344,2,5,"Concealers",4965.1,5.7
344,2,5,"Revealers",3622.34,5.06
345,2,5,"Concealers",7517.54,7.32
345,2,5,"Revealers",7018.38,7.08
346,2,5,"Concealers",7245.6,7.04
346,2,5,"Revealers",5383.68,6.26
347,2,5,"Concealers",7181.92,7.16
347,2,5,"Revealers",7702.86,7.22
348,2,5,"Concealers",6960.78,6.68
348,2,5,"Revealers",4580.14,5.72
349,2,5,"Concealers",5793.08,6.38
349,2,5,"Revealers",4589.1,5.74
350,2,5,"Concealers",6936.46,7.02
350,2,5,"Revealers",7769.56,7.3
351,2,5,"Concealers",5236.32,5.78
351,2,5,"Revealers",3955.32,5.2
352,2,5,"Concealers",5674.98,6.14
352,2,5,"Revealers",4005.44,5.42
353,2,5,"Concealers",7811.86,7.28
353,2,5,"Revealers",6911.1,7.02
354,2,5,"Concealers",7165.16,7.1
354,2,5,"Revealers",5184.18,6.16
355,2,5,"Concealers",8187.16,7.5
355,2,5,"Revealers",6004.04,6.66
356,2,5,"Concealers",5491.4,6.06
356,2,5,"Revealers",4147.36,5.4
357,2,5,"Concealers",6928.78,6.72
357,2,5,"Revealers",4385.2,5.76
358,2,5,"Concealers",7548.88,7.22
358,2,5,"Revealers",5546.84,6.46
359,2,5,"Concealers",7718.34,7.48
359,2,5,"Revealers",6757.7,6.84
360,2,5,"Concealers",7051.26,7.1
360,2,5,"Revealers",7271.86,7.06
361,2,5,"Concealers",7556.86,7.3
361,2,5,"Revealers",5205.04,6.18
362,2,5,"Concealers",7241.08,7.22
362,2,5,"Revealers",7600.94,7.26
363,2,5,"Concealers",6713.62,6.82
363,2,5,"Revealers",4875.7,5.92
364,2,5,"Concealers",5096.92,5.74
364,2,5,"Revealers",3718.36,5.12
365,2,5,"Concealers",5215.06,5.96
365,2,5,"Revealers",4230.02,5.36
366,2,5,"Concealers",7524.94,7.3
366,2,5,"Revealers",5534.62,6.42
367,2,5,"Concealers",5845.3,6.44
367,2,5,"Revealers",4835.56,5.92
368,2,5,"Concealers",7117.58,7.06
368,2,5,"Revealers",7266.98,6.98
369,2,5,"Concealers",8169.72,7.62
369,2,5,"Revealers",6884.42,7.02
370,2,5,"Concealers",6468.78,6.22
370,2,5,"Revealers",3757.4,5.34
371,2,5,"Concealers",7265.24,7.08
371,2,5,"Revealers",5712.06,6.48
372,2,5,"Concealers",5505.02,6.04
372,2,5,"Revealers",3734.56,5.22
373,2,5,"Concealers",6641.18,6.66
373,2,5,"Revealers",4792.68,5.8
374,2,5,"Concealers",8259.72,7.54
374,2,5,"Revealers",5032.68,6.2
375,2,5,"Concealers",6126.96,6.3
375,2,5,"Revealers",3514.18,5.16
376,2,5,"Concealers",5571.44,6.1
376,2,5,"Revealers",3071.2,4.96
377,2,5,"Concealers",7438.88,7.16
377,2,5,"Revealers",5692.84,6.32
378,2,5,"Concealers",6212.38,6.42
378,2,5,"Revealers",3714.08,5.38
379,2,5,"Concealers",5585.04,5.88
379,2,5,"Revealers",3112.22,5.08
380,2,5,"Concealers",5632.7,6
380,2,5,"Revealers",4569.08,5.48
381,2,5,"Concealers",6188.22,6.18
381,2,5,"Revealers",3640.38,5.42
382,2,5,"Concealers",7389.28,7.34
382,2,5,"Revealers",7845.22,7.32
383,2,5,"Concealers",6234.28,6.44
383,2,5,"Revealers",3814.26,5.38
384,2,5,"Concealers",7440.76,7.22
384,2,5,"Revealers",6315.64,6.8
385,2,5,"Concealers",8164.2,7.46
385,2,5,"Revealers",7345.9,7.26
386,2,5,"Concealers",5106.18,5.9
386,2,5,"Revealers",4343.44,5.68
387,2,5,"Concealers",7054.3,6.88
387,2,5,"Revealers",5441.9,6.1
388,2,5,"Concealers",5964.82,6.44
388,2,5,"Revealers",4327.26,5.64
389,2,5,"Concealers",8495.02,7.58
389,2,5,"Revealers",6185.44,6.66
390,2,5,"Concealers",6722.22,6.54
390,2,5,"Revealers",3959.94,5.4
391,2,5,"Concealers",5667.4,6.04
391,2,5,"Revealers",4128.1,5.36
392,2,5,"Concealers",7265.96,7.02
392,2,5,"Revealers",5487.18,6.28
393,2,5,"Concealers",8018,7.56
393,2,5,"Revealers",5986.96,6.6
394,2,5,"Concealers",5878.68,6.18
394,2,5,"Revealers",5347.78,5.94
395,2,5,"Concealers",7940.7,7.24
395,2,5,"Revealers",5878.48,6.52
396,2,5,"Concealers",7707.6,7.22
396,2,5,"Revealers",6139.26,6.7
397,2,5,"Concealers",5988,6.4
397,2,5,"Revealers",5499.32,6.1
398,2,5,"Concealers",7473,6.94
398,2,5,"Revealers",4546.84,5.82
399,2,5,"Concealers",5626.16,6.02
399,2,5,"Revealers",4596.98,5.38
400,2,5,"Concealers",6388.72,6.52
400,2,5,"Revealers",4441.08,5.76
401,3,2,"Concealers",5508.14,6.2
401,3,2,"Revealers",3547.88,5.26
402,3,2,"Concealers",7859.58,7.64
402,3,2,"Revealers",6871.98,7.1
403,3,2,"Concealers",8203.52,7.72
403,3,2,"Revealers",6683.44,6.9
404,3,2,"Concealers",9106.58,8.06
404,3,2,"Revealers",5384,6.28
405,3,2,"Concealers",7468.92,7.46
405,3,2,"Revealers",5161.16,6.36
406,3,2,"Concealers",7728.8,7.52
406,3,2,"Revealers",5895.68,6.6
407,3,2,"Concealers",7219.6,7.2
407,3,2,"Revealers",4658.18,5.98
408,3,2,"Concealers",7995.04,7.68
408,3,2,"Revealers",6079.66,6.7
409,3,2,"Concealers",7651,7.52
409,3,2,"Revealers",5278.98,6.32
410,3,2,"Concealers",7309.94,6.98
410,3,2,"Revealers",4715.68,6.04
411,3,2,"Concealers",7577.92,7.4
411,3,2,"Revealers",4604.06,6.06
412,3,2,"Concealers",6121.6,6.52
412,3,2,"Revealers",3377.28,5.34
413,3,2,"Concealers",6532.66,6.76
413,3,2,"Revealers",4645.18,5.84
414,3,2,"Concealers",7960.48,7.52
414,3,2,"Revealers",5226.74,6.32
415,3,2,"Concealers",8219.92,7.68
415,3,2,"Revealers",5638.96,6.46
416,3,2,"Concealers",7927.82,7.54
416,3,2,"Revealers",6048.62,6.76
417,3,2,"Concealers",6043.32,6.48
417,3,2,"Revealers",3364.16,5.38
418,3,2,"Concealers",8561.84,7.78
418,3,2,"Revealers",6245.12,6.8
419,3,2,"Concealers",6992.6,7.1
419,3,2,"Revealers",5512.86,6.36
420,3,2,"Concealers",7355.74,7.28
420,3,2,"Revealers",5574.66,6.34
421,3,2,"Concealers",8422.46,7.84
421,3,2,"Revealers",5782.1,6.6
422,3,2,"Concealers",8001.58,7.58
422,3,2,"Revealers",5266.3,6.36
423,3,2,"Concealers",6910.02,6.94
423,3,2,"Revealers",4173.8,5.74
424,3,2,"Concealers",8748.58,8.02
424,3,2,"Revealers",5893.36,6.64
425,3,2,"Concealers",6935.14,7.04
425,3,2,"Revealers",4314.06,5.88
426,3,2,"Concealers",7697.02,7.42
426,3,2,"Revealers",6103.88,6.56
427,3,2,"Concealers",5852.06,6.28
427,3,2,"Revealers",3028.96,5.04
428,3,2,"Concealers",8369.12,7.84
428,3,2,"Revealers",5903.32,6.76
429,3,2,"Concealers",7879.72,7.42
429,3,2,"Revealers",4916.46,6.08
430,3,2,"Concealers",7213.46,7.14
430,3,2,"Revealers",4808.26,6.1
431,3,2,"Concealers",7520.78,7.5
431,3,2,"Revealers",5411.6,6.42
432,3,2,"Concealers",7855.52,7.62
432,3,2,"Revealers",6154.76,6.84
433,3,2,"Concealers",6550.96,6.9
433,3,2,"Revealers",4230.26,5.72
434,3,2,"Concealers",6529.3,6.86
434,3,2,"Revealers",5089.6,6.26
435,3,2,"Concealers",7513.16,7.32
435,3,2,"Revealers",5251.88,6.24
436,3,2,"Concealers",6456.64,6.7
436,3,2,"Revealers",4127.3,5.66
437,3,2,"Concealers",6537.78,6.9
437,3,2,"Revealers",5032.14,6.08
438,3,2,"Concealers",6647.14,6.94
438,3,2,"Revealers",5148.88,6.2
439,3,2,"Concealers",6926.78,7.08
439,3,2,"Revealers",4850.42,6.14
440,3,2,"Concealers",5598.32,6.2
440,3,2,"Revealers",3286.72,5.26
441,3,2,"Concealers",7962.26,7.72
441,3,2,"Revealers",5922.28,6.56
442,3,2,"Concealers",6507.34,6.88
442,3,2,"Revealers",5426.08,6.26
443,3,2,"Concealers",6497.56,6.82
443,3,2,"Revealers",4604.4,6.08
444,3,2,"Concealers",7370.82,7.4
444,3,2,"Revealers",5870.2,6.66
445,3,2,"Concealers",7187.16,7.32
445,3,2,"Revealers",5456.74,6.46
446,3,2,"Concealers",8243.72,7.84
446,3,2,"Revealers",6146.88,6.74
447,3,2,"Concealers",7798.68,7.64
447,3,2,"Revealers",6696.68,7
448,3,2,"Concealers",6729.28,6.78
448,3,2,"Revealers",4774.72,6.04
449,3,2,"Concealers",7572.02,7.48
449,3,2,"Revealers",6642.4,7.12
450,3,2,"Concealers",6338.18,6.68
450,3,2,"Revealers",4014.32,5.64
451,3,2,"Concealers",6961.28,6.94
451,3,2,"Revealers",4701.18,6.04
452,3,2,"Concealers",7722.88,7.54
452,3,2,"Revealers",5623.68,6.5
453,3,2,"Concealers",7241.46,7.26
453,3,2,"Revealers",4575.8,6
454,3,2,"Concealers",8322.64,7.82
454,3,2,"Revealers",5877.24,6.66
455,3,2,"Concealers",7615.6,7.4
455,3,2,"Revealers",6490.66,6.9
456,3,2,"Concealers",9085.12,8.2
456,3,2,"Revealers",5919.64,6.66
457,3,2,"Concealers",8019.18,7.72
457,3,2,"Revealers",6179.54,6.74
458,3,2,"Concealers",7735.08,7.58
458,3,2,"Revealers",6435.54,6.8
459,3,2,"Concealers",7772.76,7.44
459,3,2,"Revealers",5604.62,6.56
460,3,2,"Concealers",7240.02,7.2
460,3,2,"Revealers",4841.96,6.04
461,3,2,"Concealers",7259.36,7.06
461,3,2,"Revealers",4838.84,6.04
462,3,2,"Concealers",7168.96,7.36
462,3,2,"Revealers",6605.78,6.94
463,3,2,"Concealers",6217.9,6.68
463,3,2,"Revealers",4474.94,5.88
464,3,2,"Concealers",7676.74,7.56
464,3,2,"Revealers",5698.64,6.56
465,3,2,"Concealers",8131.36,7.78
465,3,2,"Revealers",5835.04,6.7
466,3,2,"Concealers",6052.98,6.44
466,3,2,"Revealers",4445.54,5.94
467,3,2,"Concealers",5893.78,6.28
467,3,2,"Revealers",3755.86,5.46
468,3,2,"Concealers",7743.28,7.58
468,3,2,"Revealers",6578.7,7
469,3,2,"Concealers",6858.08,7.04
469,3,2,"Revealers",5264.26,6.28
470,3,2,"Concealers",7801.52,7.5
470,3,2,"Revealers",4835.58,6.2
471,3,2,"Concealers",8537.78,7.82
471,3,2,"Revealers",6669.42,6.92
472,3,2,"Concealers",8046.88,7.72
472,3,2,"Revealers",6198.74,6.8
473,3,2,"Concealers",8493.12,7.94
473,3,2,"Revealers",5437.64,6.46
474,3,2,"Concealers",7933.14,7.68
474,3,2,"Revealers",6067.72,6.76
475,3,2,"Concealers",6802.64,7.02
475,3,2,"Revealers",4676.44,5.94
476,3,2,"Concealers",6984.48,7.1
476,3,2,"Revealers",4777.42,6.02
477,3,2,"Concealers",8531.86,7.86
477,3,2,"Revealers",6887.22,7.18
478,3,2,"Concealers",6119.8,6.66
478,3,2,"Revealers",5211.92,6.22
479,3,2,"Concealers",7251.54,7.16
479,3,2,"Revealers",4167.4,5.78
480,3,2,"Concealers",7316.38,7.3
480,3,2,"Revealers",6251.98,6.84
481,3,2,"Concealers",7699.02,7.54
481,3,2,"Revealers",6225.32,6.8
482,3,2,"Concealers",7396.34,7.44
482,3,2,"Revealers",6211.86,6.94
483,3,2,"Concealers",6119.7,6.52
483,3,2,"Revealers",4210.62,5.64
484,3,2,"Concealers",8461.96,7.74
484,3,2,"Revealers",6254.42,6.8
485,3,2,"Concealers",7079.62,7.28
485,3,2,"Revealers",7038.48,7.2
486,3,2,"Concealers",6266.32,6.64
486,3,2,"Revealers",5312.44,6.26
487,3,2,"Concealers",8598.42,7.92
487,3,2,"Revealers",6428.16,6.9
488,3,2,"Concealers",7568.08,7.56
488,3,2,"Revealers",5336.2,6.46
489,3,2,"Concealers",6999.24,6.92
489,3,2,"Revealers",4400.9,5.74
490,3,2,"Concealers",8813.36,8.16
490,3,2,"Revealers",7082.76,7.16
491,3,2,"Concealers",7381.84,7.32
491,3,2,"Revealers",5947.04,6.58
492,3,2,"Concealers",7246.48,7.14
492,3,2,"Revealers",4823.7,6.16
493,3,2,"Concealers",8036.62,7.68
493,3,2,"Revealers",6575.2,6.9
494,3,2,"Concealers",6545.34,6.88
494,3,2,"Revealers",4706.64,6.02
495,3,2,"Concealers",7902.62,7.64
495,3,2,"Revealers",5366.76,6.48
496,3,2,"Concealers",6750.5,6.88
496,3,2,"Revealers",4357.82,5.84
497,3,2,"Concealers",8067.56,7.76
497,3,2,"Revealers",6836.06,7.08
498,3,2,"Concealers",6517.32,6.98
498,3,2,"Revealers",6041.34,6.74
499,3,2,"Concealers",7895.92,7.58
499,3,2,"Revealers",6163.68,6.8
500,3,2,"Concealers",8225.5,7.82
500,3,2,"Revealers",6393.48,6.98
501,3,3,"Concealers",5594.82,6.14
501,3,3,"Revealers",3404.08,5.2
502,3,3,"Concealers",7637.02,7.36
502,3,3,"Revealers",6264.22,6.68
503,3,3,"Concealers",4788.14,5.58
503,3,3,"Revealers",3746.26,5.26
504,3,3,"Concealers",7453.64,7.38
504,3,3,"Revealers",6454.24,6.8
505,3,3,"Concealers",7265.12,7.12
505,3,3,"Revealers",5657.64,6.42
506,3,3,"Concealers",7254.74,6.88
506,3,3,"Revealers",4187.62,5.66
507,3,3,"Concealers",7768.08,7.46
507,3,3,"Revealers",6652.88,6.78
508,3,3,"Concealers",5354.18,5.74
508,3,3,"Revealers",3631.56,5.02
509,3,3,"Concealers",7462.42,7.4
509,3,3,"Revealers",6356.36,6.76
510,3,3,"Concealers",8437.18,7.68
510,3,3,"Revealers",6138.98,6.54
511,3,3,"Concealers",7852.94,7.36
511,3,3,"Revealers",6278.72,6.7
512,3,3,"Concealers",7253.08,7.14
512,3,3,"Revealers",5318.14,6.24
513,3,3,"Concealers",5152.24,5.82
513,3,3,"Revealers",2860.42,4.9
514,3,3,"Concealers",4262.58,5.02
514,3,3,"Revealers",2632.86,4.56
515,3,3,"Concealers",6120.54,6.32
515,3,3,"Revealers",4009.26,5.62
516,3,3,"Concealers",5993.04,6.06
516,3,3,"Revealers",3660.54,5.36
517,3,3,"Concealers",5574.96,6.18
517,3,3,"Revealers",3952.58,5.48
518,3,3,"Concealers",6319.28,6.28
518,3,3,"Revealers",3921.26,5.44
519,3,3,"Concealers",4915.12,5.58
519,3,3,"Revealers",3124.62,4.92
520,3,3,"Concealers",7900.6,7.42
520,3,3,"Revealers",5378.78,6.4
521,3,3,"Concealers",5526.24,6.1
521,3,3,"Revealers",4493.72,5.5
522,3,3,"Concealers",7226.64,7.04
522,3,3,"Revealers",4456.96,5.78
523,3,3,"Concealers",6997.74,7.14
523,3,3,"Revealers",6698.2,6.88
524,3,3,"Concealers",7257.66,7.34
524,3,3,"Revealers",6711.92,7.04
525,3,3,"Concealers",7564.62,7.34
525,3,3,"Revealers",6223.22,6.76
526,3,3,"Concealers",7480.18,7.16
526,3,3,"Revealers",5014.6,6.12
527,3,3,"Concealers",5292.3,5.7
527,3,3,"Revealers",3834.44,5.26
528,3,3,"Concealers",6650.04,7.02
528,3,3,"Revealers",7122.28,7.16
529,3,3,"Concealers",7149.3,7.1
529,3,3,"Revealers",4644.72,5.94
530,3,3,"Concealers",7033.06,6.94
530,3,3,"Revealers",4687.6,5.96
531,3,3,"Concealers",6016,6.48
531,3,3,"Revealers",4574.36,5.76
532,3,3,"Concealers",5288.28,5.9
532,3,3,"Revealers",3642.44,5.32
533,3,3,"Concealers",7441.74,7.36
533,3,3,"Revealers",5989.94,6.58
534,3,3,"Concealers",7324.22,7.14
534,3,3,"Revealers",5639.96,6.36
535,3,3,"Concealers",6309.18,6.54
535,3,3,"Revealers",4731.16,5.86
536,3,3,"Concealers",6160.62,6.32
536,3,3,"Revealers",3568.76,5.22
537,3,3,"Concealers",7713.88,7.42
537,3,3,"Revealers",6411.92,6.78
538,3,3,"Concealers",6909.72,6.96
538,3,3,"Revealers",4397.78,5.6
539,3,3,"Concealers",7262.08,7.22
539,3,3,"Revealers",7711.52,7.26
540,3,3,"Concealers",6393.7,6.52
540,3,3,"Revealers",4077.4,5.56
541,3,3,"Concealers",6042.1,6.28
541,3,3,"Revealers",3540.22,5.32
542,3,3,"Concealers",6887.24,7.08
542,3,3,"Revealers",4722.82,5.92
543,3,3,"Concealers",5912.12,6.26
543,3,3,"Revealers",4542.76,5.8
544,3,3,"Concealers",5068,5.64
544,3,3,"Revealers",3613.08,5.16
545,3,3,"Concealers",7053.42,6.82
545,3,3,"Revealers",4420.18,5.84
546,3,3,"Concealers",7599,7.22
546,3,3,"Revealers",4965.3,5.98
547,3,3,"Concealers",4892.46,5.56
547,3,3,"Revealers",3443.64,5.02
548,3,3,"Concealers",6079.64,6.6
548,3,3,"Revealers",4582.4,5.66
549,3,3,"Concealers",7435.9,7.36
549,3,3,"Revealers",6822.68,7.06
550,3,3,"Concealers",8072.7,7.62
550,3,3,"Revealers",5699.4,6.44
551,3,3,"Concealers",7896.52,7.6
551,3,3,"Revealers",6936.5,6.72
552,3,3,"Concealers",6728.32,6.78
552,3,3,"Revealers",4775.62,5.96
553,3,3,"Concealers",6818.56,7.04
553,3,3,"Revealers",4463.52,5.76
554,3,3,"Concealers",5796.52,6.08
554,3,3,"Revealers",4169.98,5.4
555,3,3,"Concealers",7197.06,7.22
555,3,3,"Revealers",4967.92,6.18
556,3,3,"Concealers",7440.1,7.3
556,3,3,"Revealers",6926.62,7.08
557,3,3,"Concealers",5748.82,6.2
557,3,3,"Revealers",3626.76,5.38
558,3,3,"Concealers",5645.22,6.1
558,3,3,"Revealers",3072.86,5.04
559,3,3,"Concealers",5786.3,6.12
559,3,3,"Revealers",3386.72,5.12
560,3,3,"Concealers",5473.36,5.8
560,3,3,"Revealers",2799.24,4.86
561,3,3,"Concealers",8918.84,8.08
561,3,3,"Revealers",6069.28,6.62
562,3,3,"Concealers",7592.5,7.46
562,3,3,"Revealers",6645.88,6.88
563,3,3,"Concealers",6224.4,6.62
563,3,3,"Revealers",5394.24,6.26
564,3,3,"Concealers",9079.84,7.86
564,3,3,"Revealers",5634.58,6.36
565,3,3,"Concealers",5497.66,5.94
565,3,3,"Revealers",3485.24,5.08
566,3,3,"Concealers",6798.38,7.12
566,3,3,"Revealers",6519.08,6.92
567,3,3,"Concealers",6609.68,6.84
567,3,3,"Revealers",5343.6,6.26
568,3,3,"Concealers",7428.26,7.26
568,3,3,"Revealers",5859.32,6.44
569,3,3,"Concealers",7220.56,7.16
569,3,3,"Revealers",4882.44,6.14
570,3,3,"Concealers",7416.84,7.3
570,3,3,"Revealers",5965.04,6.58
571,3,3,"Concealers",5061.28,5.88
571,3,3,"Revealers",4314.16,5.7
572,3,3,"Concealers",5449.5,5.96
572,3,3,"Revealers",3173.56,5.1
573,3,3,"Concealers",7619.56,7.42
573,3,3,"Revealers",6727.84,6.98
574,3,3,"Concealers",5296.68,5.96
574,3,3,"Revealers",3993.34,5.36
575,3,3,"Concealers",7425.62,7.38
575,3,3,"Revealers",5351.98,6.26
576,3,3,"Concealers",5901.96,6.24
576,3,3,"Revealers",3226.04,5.1
577,3,3,"Concealers",7753.58,7.42
577,3,3,"Revealers",4889.74,6
578,3,3,"Concealers",5015.54,5.68
578,3,3,"Revealers",3411.06,5.1
579,3,3,"Concealers",7735.34,7.42
579,3,3,"Revealers",6092.14,6.8
580,3,3,"Concealers",7884.76,7.4
580,3,3,"Revealers",6325.36,6.76
581,3,3,"Concealers",6028.4,6.2
581,3,3,"Revealers",3868.48,5.48
582,3,3,"Concealers",6234.44,6.46
582,3,3,"Revealers",4172.16,5.58
583,3,3,"Concealers",7765.08,7.4
583,3,3,"Revealers",5151.46,6.14
584,3,3,"Concealers",5695.32,6.1
584,3,3,"Revealers",4097.08,5.46
585,3,3,"Concealers",6894.76,6.94
585,3,3,"Revealers",5483.1,6.28
586,3,3,"Concealers",6957.9,7.04
586,3,3,"Revealers",5838.36,6.38
587,3,3,"Concealers",7002.92,7.08
587,3,3,"Revealers",4804.76,5.7
588,3,3,"Concealers",8171.62,7.56
588,3,3,"Revealers",6787.72,7.1
589,3,3,"Concealers",7567.98,7.46
589,3,3,"Revealers",7124.5,7.12
590,3,3,"Concealers",7997.48,7.52
590,3,3,"Revealers",6733.86,6.8
591,3,3,"Concealers",7060.64,7.04
591,3,3,"Revealers",6274.88,6.58
592,3,3,"Concealers",7233.44,7.06
592,3,3,"Revealers",4037.08,5.6
593,3,3,"Concealers",6243.04,6.42
593,3,3,"Revealers",3659.28,5.42
594,3,3,"Concealers",8088.48,7.54
594,3,3,"Revealers",5496.32,6.38
595,3,3,"Concealers",7863.18,7.62
595,3,3,"Revealers",7422.36,7.28
596,3,3,"Concealers",6890.3,6.9
596,3,3,"Revealers",4100.78,5.6
597,3,3,"Concealers",5267.22,6.04
597,3,3,"Revealers",2726.24,4.82
598,3,3,"Concealers",5814.46,6.16
598,3,3,"Revealers",3852.12,5.48
599,3,3,"Concealers",6351.76,6.46
599,3,3,"Revealers",4139.64,5.54
600,3,3,"Concealers",6222.32,6.3
600,3,3,"Revealers",3678.06,5.38
601,3,4,"Concealers",5688.18,6.18
601,3,4,"Revealers",5076.92,5.9
602,3,4,"Concealers",7042.16,6.98
602,3,4,"Revealers",6432.82,6.64
603,3,4,"Concealers",6585.68,6.72
603,3,4,"Revealers",5124.34,5.86
604,3,4,"Concealers",5265.36,5.98
604,3,4,"Revealers",3932.52,5.32
605,3,4,"Concealers",7461.74,7.2
605,3,4,"Revealers",5895,6.46
606,3,4,"Concealers",7569.06,7.38
606,3,4,"Revealers",6614.22,6.66
607,3,4,"Concealers",7673.54,7.38
607,3,4,"Revealers",5974.7,6.58
608,3,4,"Concealers",6509.74,6.7
608,3,4,"Revealers",4991.08,5.7
609,3,4,"Concealers",5833.8,6.3
609,3,4,"Revealers",3887.42,5.32
610,3,4,"Concealers",8071.76,7.46
610,3,4,"Revealers",5636.54,6.42
611,3,4,"Concealers",7194.12,7.22
611,3,4,"Revealers",7171.62,7.08
612,3,4,"Concealers",7927.54,7.28
612,3,4,"Revealers",5159.18,6.14
613,3,4,"Concealers",8358.92,7.52
613,3,4,"Revealers",5941.58,6.5
614,3,4,"Concealers",6994.62,7.04
614,3,4,"Revealers",6690.08,6.86
615,3,4,"Concealers",5660.94,5.96
615,3,4,"Revealers",4546.36,5.66
616,3,4,"Concealers",5860.9,6.06
616,3,4,"Revealers",3453.2,5.24
617,3,4,"Concealers",6969.7,6.84
617,3,4,"Revealers",5505.88,5.96
618,3,4,"Concealers",7560.38,7.14
618,3,4,"Revealers",5162.16,6.16
619,3,4,"Concealers",7372.48,7.18
619,3,4,"Revealers",6116.78,6.52
620,3,4,"Concealers",6607.64,6.7
620,3,4,"Revealers",4216.76,5.44
621,3,4,"Concealers",7574.12,7.42
621,3,4,"Revealers",6946.54,7.06
622,3,4,"Concealers",7499.08,7.46
622,3,4,"Revealers",5983.4,6.4
623,3,4,"Concealers",5785.48,5.88
623,3,4,"Revealers",3054.6,4.96
624,3,4,"Concealers",7394.7,7.04
624,3,4,"Revealers",5927.3,6.54
625,3,4,"Concealers",7038.12,6.78
625,3,4,"Revealers",3564.3,5.32
626,3,4,"Concealers",6618.9,6.9
626,3,4,"Revealers",5195.4,6.18
627,3,4,"Concealers",7392.08,7.4
627,3,4,"Revealers",6192.62,6.54
628,3,4,"Concealers",7650.46,7.02
628,3,4,"Revealers",4344.18,5.72
629,3,4,"Concealers",6088.54,6.14
629,3,4,"Revealers",3670.28,5.5
630,3,4,"Concealers",6698.1,6.82
630,3,4,"Revealers",5909.58,6.4
631,3,4,"Concealers",8114.84,7.38
631,3,4,"Revealers",5672.28,6.52
632,3,4,"Concealers",7150.42,7.22
632,3,4,"Revealers",5606.98,6.3
633,3,4,"Concealers",7722.3,7.26
633,3,4,"Revealers",5681.92,6.46
634,3,4,"Concealers",8568.86,7.68
634,3,4,"Revealers",5316.1,6.22
635,3,4,"Concealers",6782.42,6.8
635,3,4,"Revealers",5589.14,6.3
636,3,4,"Concealers",7286.52,7.24
636,3,4,"Revealers",7523.18,7.26
637,3,4,"Concealers",7357.06,7.3
637,3,4,"Revealers",6079.94,6.34
638,3,4,"Concealers",6884.82,6.86
638,3,4,"Revealers",5617.7,6.34
639,3,4,"Concealers",7549.38,6.88
639,3,4,"Revealers",4456.92,5.88
640,3,4,"Concealers",6549,6.68
640,3,4,"Revealers",4896.86,6.16
641,3,4,"Concealers",5804.56,6.02
641,3,4,"Revealers",3222.84,5.02
642,3,4,"Concealers",5509.6,6.08
642,3,4,"Revealers",4097.96,5.46
643,3,4,"Concealers",8624.4,7.64
643,3,4,"Revealers",6011,6.54
644,3,4,"Concealers",6571.06,6.46
644,3,4,"Revealers",3426.18,5.22
645,3,4,"Concealers",6129.38,6.24
645,3,4,"Revealers",3300.04,5.24
646,3,4,"Concealers",7951.82,7.38
646,3,4,"Revealers",6063.68,6.6
647,3,4,"Concealers",8608,7.68
647,3,4,"Revealers",5791.46,6.4
648,3,4,"Concealers",6198.58,6.42
648,3,4,"Revealers",4862.1,5.8
649,3,4,"Concealers",5737.96,5.92
649,3,4,"Revealers",2962.4,4.86
650,3,4,"Concealers",7192.82,7.14
650,3,4,"Revealers",5798.22,6.56
651,3,4,"Concealers",6294.56,6.22
651,3,4,"Revealers",4349.24,5.68
652,3,4,"Concealers",8137.04,7.64
652,3,4,"Revealers",7324.64,7.26
653,3,4,"Concealers",4377.02,5.2
653,3,4,"Revealers",2937.9,4.68
654,3,4,"Concealers",7556.6,7.32
654,3,4,"Revealers",6116.84,6.38
655,3,4,"Concealers",6867.9,6.92
655,3,4,"Revealers",5846.42,6.32
656,3,4,"Concealers",6346.72,6.38
656,3,4,"Revealers",3634.42,5.34
657,3,4,"Concealers",5921.76,6.24
657,3,4,"Revealers",4152.68,5.52
658,3,4,"Concealers",5716.04,5.98
658,3,4,"Revealers",4109.1,5.5
659,3,4,"Concealers",5432.34,5.82
659,3,4,"Revealers",2794.24,4.82
660,3,4,"Concealers",7784.1,7.34
660,3,4,"Revealers",5041.58,6.18
661,3,4,"Concealers",6521.82,6.84
661,3,4,"Revealers",5718.68,6.26
662,3,4,"Concealers",6826.54,6.6
662,3,4,"Revealers",3598.22,5.2
663,3,4,"Concealers",6687,6.62
663,3,4,"Revealers",4362.56,5.7
664,3,4,"Concealers",5758.66,6.26
664,3,4,"Revealers",4496.1,5.7
