"Run","competitor_radius","search_radius","Strategy","PI","RS"
67,2,2,"Concealers",7917.4,7.46
67,2,2,"Revealers",5075.6,6.34
68,2,2,"Concealers",7893.84,7.66
68,2,2,"Revealers",5974.22,6.8
69,2,2,"Concealers",6205.6,6.6
69,2,2,"Revealers",4196.36,5.78
70,2,2,"Concealers",7143.74,7.16
70,2,2,"Revealers",5884.8,6.6
71,2,2,"Concealers",6607.76,6.94
71,2,2,"Revealers",4641.22,5.96
72,2,2,"Concealers",7895.86,7.54
72,2,2,"Revealers",5561.36,6.4
73,2,2,"Concealers",7586.34,7.34
73,2,2,"Revealers",5032.64,6.18
74,2,2,"Concealers",6998.4,7.3
74,2,2,"Revealers",5207.04,6.28
75,2,2,"Concealers",7320.16,7.3
75,2,2,"Revealers",4648.48,6.04
76,2,2,"Concealers",7862.08,7.58
76,2,2,"Revealers",6305.14,6.74
77,2,2,"Concealers",6021.32,6.38
77,2,2,"Revealers",4085.28,5.66
78,2,2,"Concealers",8002.2,7.66
78,2,2,"Revealers",5217.76,6.26
79,2,2,"Concealers",6841.5,7.02
79,2,2,"Revealers",3958.22,5.54
80,2,2,"Concealers",5321.6,6.02
80,2,2,"Revealers",3433.64,5.24
81,2,2,"Concealers",6471.04,6.7
81,2,2,"Revealers",4369.7,5.84
82,2,2,"Concealers",7656.2,7.54
82,2,2,"Revealers",4900.2,6.18
83,2,2,"Concealers",8027.18,7.64
83,2,2,"Revealers",6770.78,7.06
84,2,2,"Concealers",7737.66,7.54
84,2,2,"Revealers",5769.82,6.64
85,2,2,"Concealers",7350.12,7.44
85,2,2,"Revealers",5919.16,6.68
86,2,2,"Concealers",7168.52,7.08
86,2,2,"Revealers",4887.1,6.02
87,2,2,"Concealers",7970.86,7.7
87,2,2,"Revealers",5552.64,6.6
88,2,2,"Concealers",7635.24,7.44
88,2,2,"Revealers",5190.92,6.2
89,2,2,"Concealers",8366.3,7.74
89,2,2,"Revealers",5543.4,6.48
90,2,2,"Concealers",7096.84,7.18
90,2,2,"Revealers",5078.38,6.24
91,2,2,"Concealers",7307.52,7.3
91,2,2,"Revealers",7217.52,7.22
92,2,2,"Concealers",7642.46,7.42
92,2,2,"Revealers",4688.24,5.98
93,2,2,"Concealers",5980.54,6.62
93,2,2,"Revealers",4418.88,5.76
94,2,2,"Concealers",7206.66,7.18
94,2,2,"Revealers",4861.66,5.96
95,2,2,"Concealers",5968.88,6.42
95,2,2,"Revealers",4182.14,5.8
96,2,2,"Concealers",6682.9,6.86
96,2,2,"Revealers",4891.4,6
97,2,2,"Concealers",6959.08,6.94
97,2,2,"Revealers",4705.66,5.98
98,2,2,"Concealers",8310.52,7.76
98,2,2,"Revealers",5823.68,6.6
99,2,2,"Concealers",6841.8,6.9
99,2,2,"Revealers",4898.74,6.18
100,2,2,"Concealers",7889.06,7.48
100,2,2,"Revealers",4962.84,6.16
101,2,3,"Concealers",5488.5,6.04
101,2,3,"Revealers",3981.4,5.42
102,2,3,"Concealers",5668.68,5.84
102,2,3,"Revealers",2974.1,5.02
103,2,3,"Concealers",7674.18,7.46
103,2,3,"Revealers",6094.78,6.68
104,2,3,"Concealers",8045.22,7.48
104,2,3,"Revealers",5869.42,6.48
105,2,3,"Concealers",6918.76,6.82
105,2,3,"Revealers",4692.96,5.9
106,2,3,"Concealers",5451.3,5.92
106,2,3,"Revealers",3623.3,5.1
107,2,3,"Concealers",5962.06,6.34
107,2,3,"Revealers",4657.6,5.64
108,2,3,"Concealers",5668.08,6.28
108,2,3,"Revealers",5031.5,5.94
109,2,3,"Concealers",6705.32,6.82
109,2,3,"Revealers",4411.98,5.7
110,2,3,"Concealers",6761.1,7
110,2,3,"Revealers",5780.5,6.36
111,2,3,"Concealers",7849.22,7.28
111,2,3,"Revealers",5982.42,6.64
112,2,3,"Concealers",6617.16,6.44
112,2,3,"Revealers",3901.36,5.42
113,2,3,"Concealers",5513.7,5.94
113,2,3,"Revealers",3461.84,5.16
114,2,3,"Concealers",8019.82,7.56
114,2,3,"Revealers",5574.84,6.42
115,2,3,"Concealers",8155.52,7.72
115,2,3,"Revealers",5913.2,6.6
116,2,3,"Concealers",8438.5,7.7
116,2,3,"Revealers",5961.92,6.58
117,2,3,"Concealers",7296.72,7.24
117,2,3,"Revealers",6325.94,6.76
118,2,3,"Concealers",7174.4,6.82
118,2,3,"Revealers",3536.52,5.34
119,2,3,"Concealers",7160.26,7.28
119,2,3,"Revealers",6903.58,7.02
120,2,3,"Concealers",7416.24,7.36
120,2,3,"Revealers",6663.8,7.08
121,2,3,"Concealers",5717.04,6
121,2,3,"Revealers",4080.98,5.56
122,2,3,"Concealers",5814.94,6.16
122,2,3,"Revealers",4659.18,5.58
123,2,3,"Concealers",6052.62,6.38
123,2,3,"Revealers",4214.34,5.64
124,2,3,"Concealers",8276.74,7.52
124,2,3,"Revealers",6192.16,6.74
125,2,3,"Concealers",7526.44,7.2
125,2,3,"Revealers",4090.9,5.62
126,2,3,"Concealers",5040.8,5.58
126,2,3,"Revealers",3428.28,5.08
127,2,3,"Concealers",4786.7,5.48
127,2,3,"Revealers",3087.1,4.76
128,2,3,"Concealers",4727.26,5.46
128,2,3,"Revealers",2232.4,4.56
129,2,3,"Concealers",7732.48,7.36
129,2,3,"Revealers",6498.72,6.74
130,2,3,"Concealers",6176.42,6.5
130,2,3,"Revealers",4173.14,5.58
131,2,3,"Concealers",7618.66,7.3
131,2,3,"Revealers",5383,6.34
132,2,3,"Concealers",6828.92,6.82
132,2,3,"Revealers",4217.86,5.64
133,2,3,"Concealers",7366.46,7.28
133,2,3,"Revealers",6106.98,6.5
134,2,3,"Concealers",4894.26,5.54
134,2,3,"Revealers",3020.94,4.84
135,2,3,"Concealers",5235.38,5.86
135,2,3,"Revealers",3929.88,5.32
136,2,3,"Concealers",6088.52,6.48
136,2,3,"Revealers",5140.5,6
137,2,3,"Concealers",5650.12,6.14
137,2,3,"Revealers",4656.98,5.78
138,2,3,"Concealers",5821.18,6.22
138,2,3,"Revealers",3297.76,5.2
139,2,3,"Concealers",4614.72,5.32
139,2,3,"Revealers",2942.7,4.8
140,2,3,"Concealers",8598.18,7.82
140,2,3,"Revealers",5577.98,6.28
141,2,3,"Concealers",6717.08,6.58
141,2,3,"Revealers",3196.66,5
142,2,3,"Concealers",6166.26,6.5
142,2,3,"Revealers",4404.6,5.7
143,2,3,"Concealers",7922.98,7.5
143,2,3,"Revealers",6179.58,6.66
144,2,3,"Concealers",7120,7.04
144,2,3,"Revealers",5477.2,6.26
145,2,3,"Concealers",7977.46,7.48
145,2,3,"Revealers",6390.38,6.72
146,2,3,"Concealers",6537.26,6.5
146,2,3,"Revealers",3877.34,5.48
147,2,3,"Concealers",7880.62,7.46
147,2,3,"Revealers",5270.68,6.36
148,2,3,"Concealers",8861.08,7.92
148,2,3,"Revealers",5958.52,6.64
149,2,3,"Concealers",8406.26,7.66
149,2,3,"Revealers",5714.52,6.44
150,2,3,"Concealers",8007.66,7.58
150,2,3,"Revealers",6451.06,6.84
151,2,3,"Concealers",7923.96,7.54
151,2,3,"Revealers",6545.32,6.9
152,2,3,"Concealers",7092.24,7.02
152,2,3,"Revealers",6452.44,6.82
153,2,3,"Concealers",5131.1,5.74
153,2,3,"Revealers",3404.8,5.08
154,2,3,"Concealers",7612.88,7.48
154,2,3,"Revealers",6986.84,7.14
155,2,3,"Concealers",5223.66,5.64
155,2,3,"Revealers",2815.62,4.82
156,2,3,"Concealers",6519.86,6.56
156,2,3,"Revealers",3308.28,5.14
157,2,3,"Concealers",7658.58,7.36
157,2,3,"Revealers",6896.74,7.08
158,2,3,"Concealers",7280.2,7.14
158,2,3,"Revealers",4499,5.92
159,2,3,"Concealers",7555.46,7.44
159,2,3,"Revealers",7198.4,7.22
160,2,3,"Concealers",6290.52,6.56
160,2,3,"Revealers",4176.16,5.66
161,2,3,"Concealers",4993.3,5.66
161,2,3,"Revealers",2503.4,4.62
162,2,3,"Concealers",6116.56,6.22
162,2,3,"Revealers",4030.08,5.48
163,2,3,"Concealers",6056.26,6.3
163,2,3,"Revealers",4095.64,5.44
164,2,3,"Concealers",5726.56,6.02
164,2,3,"Revealers",4068.44,5.5
165,2,3,"Concealers",6214.32,6.32
165,2,3,"Revealers",3291.98,5.12
166,2,3,"Concealers",7527.78,7.12
166,2,3,"Revealers",5647.22,6.48
167,2,3,"Concealers",5249.98,5.82
167,2,3,"Revealers",3958.62,5.32
168,2,3,"Concealers",5993.38,6.3
168,2,3,"Revealers",4834.22,5.68
169,2,3,"Concealers",5889.16,6.28
169,2,3,"Revealers",4319.06,5.58
170,2,3,"Concealers",7041.94,7.12
170,2,3,"Revealers",5702.24,6.4
171,2,3,"Concealers",7331.32,7.32
171,2,3,"Revealers",6903.16,6.88
172,2,3,"Concealers",7930.12,7.44
172,2,3,"Revealers",6028.24,6.68
173,2,3,"Concealers",7800.12,7.48
173,2,3,"Revealers",6376.12,6.64
174,2,3,"Concealers",4597.6,5.32
174,2,3,"Revealers",3394.36,4.9
175,2,3,"Concealers",5818.14,6.2
175,2,3,"Revealers",3593.7,5.3
176,2,3,"Concealers",6156.24,6.56
176,2,3,"Revealers",5694.3,6.38
177,2,3,"Concealers",7638.88,7.34
177,2,3,"Revealers",6405.2,6.8
178,2,3,"Concealers",7236.6,7.12
178,2,3,"Revealers",4607,5.9
179,2,3,"Concealers",8597.38,7.82
179,2,3,"Revealers",6089.26,6.76
180,2,3,"Concealers",6620.26,6.86
180,2,3,"Revealers",5647.46,6.4
181,2,3,"Concealers",6502.7,6.44
181,2,3,"Revealers",4379.06,5.68
182,2,3,"Concealers",6303.92,6.34
182,2,3,"Revealers",3624,5.42
183,2,3,"Concealers",6797.42,6.76
183,2,3,"Revealers",4323.12,5.88
184,2,3,"Concealers",5367.28,5.94
184,2,3,"Revealers",3834.92,5.16
185,2,3,"Concealers",6417.48,6.6
185,2,3,"Revealers",5303.2,6.24
186,2,3,"Concealers",6989.68,6.94
186,2,3,"Revealers",4353.3,5.82
187,2,3,"Concealers",7739.24,7.4
187,2,3,"Revealers",5793.94,6.48
188,2,3,"Concealers",8173.14,7.7
188,2,3,"Revealers",5279.38,6.3
189,2,3,"Concealers",7527.34,7.12
189,2,3,"Revealers",4977.96,6.12
190,2,3,"Concealers",7803.42,7.4
190,2,3,"Revealers",5561.1,6.44
191,2,3,"Concealers",5685.22,5.82
191,2,3,"Revealers",3074.88,4.98
192,2,3,"Concealers",7589.7,7.22
192,2,3,"Revealers",4894.46,6.1
193,2,3,"Concealers",5888.88,6.24
193,2,3,"Revealers",3677.82,5.48
194,2,3,"Concealers",3713.28,4
194,2,3,"Revealers",1161.32,3.44
195,2,3,"Concealers",6948.18,7.06
195,2,3,"Revealers",5910.72,6.56
196,2,3,"Concealers",7426.62,7.34
196,2,3,"Revealers",7261.22,7.12
197,2,3,"Concealers",3895.02,4.28
197,2,3,"Revealers",1434.72,3.9
198,2,3,"Concealers",5866.26,6.32
198,2,3,"Revealers",4582.66,5.72
199,2,3,"Concealers",8609.84,7.9
199,2,3,"Revealers",7083.44,7.04
200,2,3,"Concealers",5300.14,5.62
200,2,3,"Revealers",3306.64,4.94
201,2,4,"Concealers",5541.06,5.94
201,2,4,"Revealers",4527.24,5.54
202,2,4,"Concealers",7417.44,7.24
202,2,4,"Revealers",7004.44,6.98
203,2,4,"Concealers",6488.56,6.72
203,2,4,"Revealers",4867.52,5.9
204,2,4,"Concealers",7369.76,7.26
204,2,4,"Revealers",6635.24,6.8
205,2,4,"Concealers",6579.26,6.94
205,2,4,"Revealers",6749.24,6.82
206,2,4,"Concealers",5014.68,5.72
206,2,4,"Revealers",4521.64,5.66
207,2,4,"Concealers",8189.48,7.62
207,2,4,"Revealers",5922.28,6.58
208,2,4,"Concealers",5255.38,5.88
208,2,4,"Revealers",3756.64,5.24
209,2,4,"Concealers",8392.4,7.42
209,2,4,"Revealers",5912.64,6.46
210,2,4,"Concealers",8017.26,7.42
210,2,4,"Revealers",6034.46,6.62
211,2,4,"Concealers",6052.62,6.38
211,2,4,"Revealers",4665.24,5.76
212,2,4,"Concealers",7705.66,7.48
212,2,4,"Revealers",6193.36,6.62
213,2,4,"Concealers",8403.06,7.7
213,2,4,"Revealers",6277.46,6.88
214,2,4,"Concealers",6860.1,6.96
214,2,4,"Revealers",6220.54,6.52
215,2,4,"Concealers",7102.06,7.04
215,2,4,"Revealers",5876.4,6.44
216,2,4,"Concealers",6663.88,6.66
216,2,4,"Revealers",4233.92,5.68
217,2,4,"Concealers",6611,6.88
217,2,4,"Revealers",5110.78,5.9
218,2,4,"Concealers",7802.08,7.2
218,2,4,"Revealers",5248.78,6.24
219,2,4,"Concealers",5548.34,6.02
219,2,4,"Revealers",3940.94,5.36
220,2,4,"Concealers",7252.9,7.16
220,2,4,"Revealers",6015.42,6.66
221,2,4,"Concealers",9131.24,8.1
221,2,4,"Revealers",6779.02,6.92
222,2,4,"Concealers",6256.94,6.3
222,2,4,"Revealers",3778.2,5.3
223,2,4,"Concealers",7547.96,7.42
223,2,4,"Revealers",7929.16,7.14
224,2,4,"Concealers",6758.88,6.6
224,2,4,"Revealers",3765.86,5.38
225,2,4,"Concealers",6452.8,6.6
225,2,4,"Revealers",5230.02,6.06
226,2,4,"Concealers",7129.66,7.2
226,2,4,"Revealers",6341.86,6.7
227,2,4,"Concealers",6718.32,6.9
227,2,4,"Revealers",5119.58,6.12
228,2,4,"Concealers",8262.78,7.78
