"Run","Sens","Strategy","PI","RS"
74,0,"Concealers",8270.76,7.9
74,0,"Revealers",6973.66,7.12
75,0,"Concealers",7774.68,7.52
75,0,"Revealers",5794.3,6.58
76,0,"Concealers",8281.5,7.76
76,0,"Revealers",6472.4,7.06
77,0,"Concealers",7552.36,7.52
77,0,"Revealers",5147.62,6.26
78,0,"Concealers",7329.62,7.3
78,0,"Revealers",6677.86,7.08
79,0,"Concealers",7253.82,7.24
79,0,"Revealers",5046.52,6.3
80,0,"Concealers",8466.52,7.9
80,0,"Revealers",6724.62,7.1
81,0,"Concealers",6966.28,7.08
81,0,"Revealers",5031.18,6.06
82,0,"Concealers",7812.52,7.54
82,0,"Revealers",5555.86,6.48
83,0,"Concealers",7251,7.3
83,0,"Revealers",5469.38,6.5
84,0,"Concealers",8286.68,7.88
84,0,"Revealers",6257.8,6.84
85,0,"Concealers",8315.64,7.8
85,0,"Revealers",7074.58,7.12
86,0,"Concealers",6580.98,6.8
86,0,"Revealers",4606.66,5.88
87,0,"Concealers",7356.54,7.14
87,0,"Revealers",6190.22,6.74
88,0,"Concealers",6363,6.52
88,0,"Revealers",3776.54,5.52
89,0,"Concealers",8274.64,7.8
89,0,"Revealers",7266.76,7.34
90,0,"Concealers",8295.24,7.72
90,0,"Revealers",5505.58,6.44
91,0,"Concealers",6833.52,6.9
91,0,"Revealers",3469.46,5.38
92,0,"Concealers",8321.18,7.84
92,0,"Revealers",5624.34,6.48
93,0,"Concealers",6738.88,7
93,0,"Revealers",4453.64,5.8
94,0,"Concealers",7785.12,7.64
94,0,"Revealers",6511.44,6.9
95,0,"Concealers",6104.74,6.64
95,0,"Revealers",4415.74,5.92
96,0,"Concealers",7592.66,7.38
96,0,"Revealers",6659.74,7.04
97,0,"Concealers",8299.42,7.82
97,0,"Revealers",6956.6,6.98
98,0,"Concealers",6650.04,6.8
98,0,"Revealers",4981.08,6.14
99,0,"Concealers",7661.82,7.52
99,0,"Revealers",5452.28,6.34
100,0,"Concealers",8223.12,7.7
100,0,"Revealers",5143.92,6.32
101,0.25,"Concealers",5706.22,6.22
101,0.25,"Revealers",3534.22,5.3
102,0.25,"Concealers",7819.74,7.58
102,0.25,"Revealers",6379.66,6.82
103,0.25,"Concealers",7010.08,7.08
103,0.25,"Revealers",4187.44,5.9
104,0.25,"Concealers",7242.92,7.28
104,0.25,"Revealers",5330.88,6.44
105,0.25,"Concealers",7976.34,7.66
105,0.25,"Revealers",4734.88,6.06
106,0.25,"Concealers",8034.8,7.72
106,0.25,"Revealers",7052.62,7.26
107,0.25,"Concealers",7975.02,7.62
107,0.25,"Revealers",5254.18,6.36
108,0.25,"Concealers",7277.88,7.12
108,0.25,"Revealers",5027,6.16
109,0.25,"Concealers",8421.68,7.72
109,0.25,"Revealers",5384.72,6.42
110,0.25,"Concealers",8021.74,7.52
110,0.25,"Revealers",4681.12,6.16
111,0.25,"Concealers",7568.94,7.36
111,0.25,"Revealers",5009.32,6.16
112,0.25,"Concealers",8471.84,7.88
112,0.25,"Revealers",5067.42,6.22
113,0.25,"Concealers",6493.72,6.8
113,0.25,"Revealers",4549.48,5.88
114,0.25,"Concealers",7717.62,7.64
114,0.25,"Revealers",6680.02,7.14
115,0.25,"Concealers",8148.98,7.74
115,0.25,"Revealers",5831.8,6.58
116,0.25,"Concealers",7555.72,7.42
116,0.25,"Revealers",6367.96,6.88
117,0.25,"Concealers",8251.76,7.82
117,0.25,"Revealers",4990.52,6.28
118,0.25,"Concealers",6619.18,6.88
118,0.25,"Revealers",4575.42,5.92
119,0.25,"Concealers",7262.86,7.28
119,0.25,"Revealers",5394.32,6.36
120,0.25,"Concealers",7311.88,7.3
120,0.25,"Revealers",4444.04,5.96
121,0.25,"Concealers",8698.84,8.08
121,0.25,"Revealers",6938.56,7.18
122,0.25,"Concealers",6740.38,7.02
122,0.25,"Revealers",6378.54,6.92
123,0.25,"Concealers",6581.32,6.86
123,0.25,"Revealers",4664.02,5.96
124,0.25,"Concealers",7464.88,7.44
124,0.25,"Revealers",6687.06,7.06
125,0.25,"Concealers",7169.82,7.28
125,0.25,"Revealers",6426.8,7.04
126,0.25,"Concealers",7358.06,7.3
126,0.25,"Revealers",4034.36,5.76
127,0.25,"Concealers",7038.94,7.06
127,0.25,"Revealers",4716.14,6.1
128,0.25,"Concealers",6613.22,6.98
128,0.25,"Revealers",5019.78,6.16
129,0.25,"Concealers",8419.96,7.82
129,0.25,"Revealers",5179.96,6.28
130,0.25,"Concealers",8026.6,7.64
130,0.25,"Revealers",6267.36,6.92
131,0.25,"Concealers",7175.72,7.26
131,0.25,"Revealers",6046.08,6.6
132,0.25,"Concealers",6025.6,6.24
132,0.25,"Revealers",3484.96,5.38
133,0.25,"Concealers",6789.3,7.24
133,0.25,"Revealers",6742.4,7.12
134,0.25,"Concealers",8002.56,7.68
134,0.25,"Revealers",6036.96,6.68
135,0.25,"Concealers",7788.9,7.5
135,0.25,"Revealers",6034.5,6.78
136,0.25,"Concealers",6427.36,6.78
136,0.25,"Revealers",4574.4,5.98
137,0.25,"Concealers",8343,7.88
137,0.25,"Revealers",5314.74,6.36
138,0.25,"Concealers",7858.26,7.62
138,0.25,"Revealers",6091.02,6.68
139,0.25,"Concealers",7572.52,7.46
139,0.25,"Revealers",5259.74,6.38
140,0.25,"Concealers",8392.8,7.74
140,0.25,"Revealers",4909.24,6.24
141,0.25,"Concealers",7520.58,7.3
141,0.25,"Revealers",4726.74,6.08
142,0.25,"Concealers",7196.16,7.22
142,0.25,"Revealers",4778.52,6.12
143,0.25,"Concealers",7242.82,7.2
143,0.25,"Revealers",4842.56,6.24
144,0.25,"Concealers",6961.04,7.1
144,0.25,"Revealers",4618.12,6.06
145,0.25,"Concealers",8013.9,7.54
145,0.25,"Revealers",5487.76,6.46
146,0.25,"Concealers",6661.98,6.8
146,0.25,"Revealers",4090.86,5.72
147,0.25,"Concealers",8479.9,7.82
147,0.25,"Revealers",5611.84,6.58
148,0.25,"Concealers",8507.96,7.84
148,0.25,"Revealers",5893.92,6.68
149,0.25,"Concealers",8065.98,7.64
149,0.25,"Revealers",5396.36,6.44
150,0.25,"Concealers",6789.7,6.92
150,0.25,"Revealers",4759.06,6.06
151,0.25,"Concealers",7192.96,7.1
151,0.25,"Revealers",5033.92,6.24
152,0.25,"Concealers",8192.18,7.8
152,0.25,"Revealers",6298.38,6.82
153,0.25,"Concealers",7452.82,7.1
153,0.25,"Revealers",4567.54,6
154,0.25,"Concealers",6434.24,6.84
154,0.25,"Revealers",4139.98,5.76
155,0.25,"Concealers",8261.74,7.7
155,0.25,"Revealers",4933.6,6.16
156,0.25,"Concealers",7567.94,7.5
156,0.25,"Revealers",6833.74,7.02
157,0.25,"Concealers",6301.66,6.5
157,0.25,"Revealers",3837.88,5.58
158,0.25,"Concealers",7345.32,7.14
158,0.25,"Revealers",4245.54,5.9
159,0.25,"Concealers",7386.78,7.24
159,0.25,"Revealers",5286.44,6.34
160,0.25,"Concealers",6447.52,6.74
160,0.25,"Revealers",4781.34,6.12
161,0.25,"Concealers",7284.42,7.24
161,0.25,"Revealers",4821.02,6.18
162,0.25,"Concealers",6595.14,6.9
162,0.25,"Revealers",4803.62,6.04
163,0.25,"Concealers",6919.24,7.08
163,0.25,"Revealers",4356.24,5.98
164,0.25,"Concealers",6980.82,7.14
164,0.25,"Revealers",4931.06,6.12
165,0.25,"Concealers",7653.96,7.56
165,0.25,"Revealers",6715.8,7
166,0.25,"Concealers",8356.58,7.86
166,0.25,"Revealers",5814.52,6.6
167,0.25,"Concealers",8031.46,7.68
167,0.25,"Revealers",6324.42,6.92
168,0.25,"Concealers",6452.6,6.88
168,0.25,"Revealers",4029.94,5.76
169,0.25,"Concealers",7626.56,7.52
169,0.25,"Revealers",5430.58,6.4
170,0.25,"Concealers",7929.48,7.68
170,0.25,"Revealers",6184,6.74
171,0.25,"Concealers",8234.56,7.86
171,0.25,"Revealers",6671.38,6.88
172,0.25,"Concealers",7155.78,7.22
172,0.25,"Revealers",5266.74,6.3
173,0.25,"Concealers",8426.12,7.86
