"Run","Sens","Strategy","PI","RS"
74,0,"Revealers",6444.26,6.96
75,0,"Concealers",6638.38,6.74
75,0,"Revealers",3655.88,5.6
76,0,"Concealers",8168.24,7.68
76,0,"Revealers",4369.66,5.96
77,0,"Concealers",6881.56,7.08
77,0,"Revealers",4196.94,5.78
78,0,"Concealers",6475.46,6.66
78,0,"Revealers",3755.48,5.42
79,0,"Concealers",7296.14,7.28
79,0,"Revealers",4947.22,6.12
80,0,"Concealers",7162.28,7.1
80,0,"Revealers",3887.66,5.64
81,0,"Concealers",7533.52,7.46
81,0,"Revealers",5469.02,6.46
82,0,"Concealers",9289.9,8.18
82,0,"Revealers",4888.46,6.18
83,0,"Concealers",8217.5,7.84
83,0,"Revealers",4399.26,5.84
84,0,"Concealers",7238.08,7.22
84,0,"Revealers",4950.46,6.26
85,0,"Concealers",7533.94,7.32
85,0,"Revealers",4647.74,5.94
86,0,"Concealers",7131.04,7.2
86,0,"Revealers",4514.34,6.04
87,0,"Concealers",6923.9,6.92
87,0,"Revealers",3319.76,5.4
88,0,"Concealers",6556.8,6.68
88,0,"Revealers",3631.38,5.6
89,0,"Concealers",7523.38,7.2
89,0,"Revealers",3955.92,5.62
90,0,"Concealers",7760.56,7.58
90,0,"Revealers",4811.74,6.04
91,0,"Concealers",8578.04,7.88
91,0,"Revealers",5433.52,6.48
92,0,"Concealers",8408.56,7.78
92,0,"Revealers",5145.48,6.26
93,0,"Concealers",7186.56,7.28
93,0,"Revealers",4584.6,6.06
94,0,"Concealers",6851.12,6.98
94,0,"Revealers",4327.78,5.82
95,0,"Concealers",6225.48,6.62
95,0,"Revealers",4072.04,5.66
96,0,"Concealers",6474.14,6.98
96,0,"Revealers",4216.4,5.76
97,0,"Concealers",7894.12,7.66
97,0,"Revealers",5426.7,6.52
98,0,"Concealers",6033.2,6.48
98,0,"Revealers",3485.5,5.32
99,0,"Concealers",8070.74,7.72
99,0,"Revealers",4870.3,6.1
100,0,"Concealers",7501.44,7.38
100,0,"Revealers",4495.32,6
101,0.1,"Concealers",6668.1,6.9
101,0.1,"Revealers",5154.88,6.36
102,0.1,"Concealers",5538,6.24
102,0.1,"Revealers",4158.46,5.82
103,0.1,"Concealers",7705.24,7.48
103,0.1,"Revealers",5653.16,6.56
104,0.1,"Concealers",7416.18,7.32
104,0.1,"Revealers",5506.78,6.44
105,0.1,"Concealers",6364.36,6.44
105,0.1,"Revealers",3157.88,5.3
106,0.1,"Concealers",5966.98,6.42
106,0.1,"Revealers",4095.76,5.66
107,0.1,"Concealers",8593.86,7.94
107,0.1,"Revealers",5964.5,6.72
108,0.1,"Concealers",7520.18,7.48
108,0.1,"Revealers",7424.66,7.36
109,0.1,"Concealers",7568.6,7.52
109,0.1,"Revealers",7525.86,7.44
110,0.1,"Concealers",7866.28,7.62
110,0.1,"Revealers",6204.28,6.78
111,0.1,"Concealers",6523.76,6.72
111,0.1,"Revealers",4405.04,5.86
112,0.1,"Concealers",6328.98,6.86
112,0.1,"Revealers",4752.2,6.16
113,0.1,"Concealers",7569.7,7.44
113,0.1,"Revealers",6082.4,6.66
114,0.1,"Concealers",7238.92,7.26
114,0.1,"Revealers",6258.92,6.76
115,0.1,"Concealers",6670.78,7
115,0.1,"Revealers",5828.98,6.68
116,0.1,"Concealers",7054.98,7.24
116,0.1,"Revealers",5667.04,6.56
117,0.1,"Concealers",6343.64,6.64
117,0.1,"Revealers",4460.1,5.88
118,0.1,"Concealers",6435.22,6.74
118,0.1,"Revealers",4301.76,5.78
119,0.1,"Concealers",7368,7.4
119,0.1,"Revealers",5078.36,6.32
120,0.1,"Concealers",7115.52,7.08
120,0.1,"Revealers",5831.84,6.5
121,0.1,"Concealers",7481.16,7.36
121,0.1,"Revealers",5542.52,6.34
122,0.1,"Concealers",8453.8,7.86
122,0.1,"Revealers",6378.84,6.84
123,0.1,"Concealers",6262.76,6.5
123,0.1,"Revealers",4109.02,5.72
124,0.1,"Concealers",8739.76,8
124,0.1,"Revealers",6754.7,7.02
125,0.1,"Concealers",6985.7,7.18
125,0.1,"Revealers",6359.6,6.9
126,0.1,"Concealers",6804.16,7
126,0.1,"Revealers",5402.66,6.34
127,0.1,"Concealers",7330.3,7.3
127,0.1,"Revealers",6324.58,6.84
128,0.1,"Concealers",8051.56,7.76
128,0.1,"Revealers",6765.8,7.06
129,0.1,"Concealers",6980.82,7.06
129,0.1,"Revealers",4900.22,6.24
130,0.1,"Concealers",8704.96,8.02
130,0.1,"Revealers",6342.26,6.88
131,0.1,"Concealers",8210.08,7.7
131,0.1,"Revealers",6579.36,7
132,0.1,"Concealers",7201.84,7.16
132,0.1,"Revealers",5066.6,6.2
133,0.1,"Concealers",7345.92,7.32
133,0.1,"Revealers",5822.9,6.6
134,0.1,"Concealers",7455.7,7.4
134,0.1,"Revealers",4685.7,5.98
135,0.1,"Concealers",7577.54,7.48
135,0.1,"Revealers",6517.54,6.88
136,0.1,"Concealers",7418.04,7.3
136,0.1,"Revealers",6168.66,6.76
137,0.1,"Concealers",5588.34,6.18
137,0.1,"Revealers",4251.78,5.82
138,0.1,"Concealers",8196.02,7.78
138,0.1,"Revealers",6917.82,7.16
139,0.1,"Concealers",7196.98,7.32
139,0.1,"Revealers",5393.02,6.48
140,0.1,"Concealers",6362.16,6.8
140,0.1,"Revealers",4655.04,6
141,0.1,"Concealers",6212.02,6.7
141,0.1,"Revealers",4731.94,6.14
142,0.1,"Concealers",6610.1,6.74
142,0.1,"Revealers",5378.2,6.32
143,0.1,"Concealers",6831.7,7.08
143,0.1,"Revealers",4930.64,6.22
144,0.1,"Concealers",6422.62,6.64
144,0.1,"Revealers",4234.38,5.84
145,0.1,"Concealers",6458.16,6.78
145,0.1,"Revealers",4819.24,5.96
146,0.1,"Concealers",6056.28,6.5
146,0.1,"Revealers",4195.62,5.78
147,0.1,"Concealers",6133.36,6.62
147,0.1,"Revealers",5326.08,6.22
148,0.1,"Concealers",8815.22,8.08
148,0.1,"Revealers",6352.44,6.8
149,0.1,"Concealers",6318.34,6.76
149,0.1,"Revealers",4404.88,5.86
150,0.1,"Concealers",6601.86,6.82
150,0.1,"Revealers",4359,5.72
151,0.1,"Concealers",8364.76,7.74
151,0.1,"Revealers",6229.86,6.98
152,0.1,"Concealers",7680.92,7.54
152,0.1,"Revealers",6625.66,7.1
153,0.1,"Concealers",5986.74,6.48
153,0.1,"Revealers",3706.02,5.48
154,0.1,"Concealers",7042.98,7.28
154,0.1,"Revealers",7117.84,7.24
155,0.1,"Concealers",8424.86,7.88
155,0.1,"Revealers",6670.72,6.96
156,0.1,"Concealers",7443.18,7.38
156,0.1,"Revealers",5933.14,6.66
157,0.1,"Concealers",6798.3,7.16
157,0.1,"Revealers",6654.38,7.08
158,0.1,"Concealers",6612.56,6.94
158,0.1,"Revealers",4125.48,5.7
159,0.1,"Concealers",6859.84,7.04
159,0.1,"Revealers",5487.52,6.4
160,0.1,"Concealers",6767.98,6.92
160,0.1,"Revealers",3884.24,5.58
161,0.1,"Concealers",7964.5,7.74
161,0.1,"Revealers",7680.56,7.46
162,0.1,"Concealers",8166.28,7.8
162,0.1,"Revealers",5211.88,6.28
163,0.1,"Concealers",7089.28,6.98
163,0.1,"Revealers",4379.88,5.86
164,0.1,"Concealers",7178.58,7.3
164,0.1,"Revealers",7309.54,7.24
165,0.1,"Concealers",7199.06,7.14
165,0.1,"Revealers",4523.84,5.9
