"Run","Sens","Strategy","PI","RS"
74,100,"Revealers",5643.56,6.12
75,100,"Concealers",6725.28,6.32
75,100,"Revealers",3990.04,5.16
76,100,"Concealers",8472.72,7.36
76,100,"Revealers",5915.6,6.24
77,100,"Concealers",7467.84,7.04
77,100,"Revealers",5035.64,5.8
78,100,"Concealers",7909.72,7.2
78,100,"Revealers",5661.96,6
79,100,"Concealers",8712.96,7.4
79,100,"Revealers",5665.76,5.84
80,100,"Concealers",8068.52,7.48
80,100,"Revealers",6176.16,6.36
81,100,"Concealers",7927.68,7.28
81,100,"Revealers",6021.84,6.32
82,100,"Concealers",6783.68,6.6
82,100,"Revealers",4555.36,5.4
83,100,"Concealers",8249.96,7.44
83,100,"Revealers",6225.84,6.24
84,100,"Concealers",7069.4,6.92
84,100,"Revealers",4906.32,5.68
85,100,"Concealers",7246.16,6.88
85,100,"Revealers",5332.64,5.96
86,100,"Concealers",5948.72,6.12
86,100,"Revealers",4071.6,5.28
87,100,"Concealers",6930.84,6.6
87,100,"Revealers",5810.64,6.24
88,100,"Concealers",7435.28,6.88
88,100,"Revealers",4298,5.4
89,100,"Concealers",6961.68,6.84
89,100,"Revealers",5297.32,5.92
90,100,"Concealers",7100.96,6.6
90,100,"Revealers",4275.44,5.4
91,100,"Concealers",6930.24,6.6
91,100,"Revealers",5931.52,6.2
92,100,"Concealers",6960.16,6.72
92,100,"Revealers",4618.12,5.56
93,100,"Concealers",7900.48,7.08
93,100,"Revealers",4399.56,5.2
94,100,"Concealers",7762.88,7.08
94,100,"Revealers",6327.28,6.32
95,100,"Concealers",7582.64,6.84
95,100,"Revealers",5033.24,5.88
96,100,"Concealers",7448.92,6.92
96,100,"Revealers",4958.28,5.72
97,100,"Concealers",7400,6.88
97,100,"Revealers",5694.92,6.08
98,100,"Concealers",7859.4,7
98,100,"Revealers",7369.76,6.84
99,100,"Concealers",8711.68,7.68
99,100,"Revealers",6231.8,6.48
100,100,"Concealers",7970.96,7.24
100,100,"Revealers",5512.64,6.08
4301,200,"Concealers",7036.66,7.1
4301,200,"Revealers",5253.76,6.32
4302,200,"Concealers",8599.76,7.98
4302,200,"Revealers",5682.4,6.46
4303,200,"Concealers",6627.46,6.76
4303,200,"Revealers",3554.76,5.44
4304,200,"Concealers",7382.32,7.36
4304,200,"Revealers",5451.56,6.34
4305,200,"Concealers",7501.2,7.44
4305,200,"Revealers",6797.62,7.08
4306,200,"Concealers",8452.62,7.88
4306,200,"Revealers",6012.96,6.6
4307,200,"Concealers",7089.14,7.24
4307,200,"Revealers",7511.04,7.26
4308,200,"Concealers",6888.34,7
4308,200,"Revealers",5060.44,6.24
4309,200,"Concealers",8362.08,7.76
4309,200,"Revealers",6614.5,7.04
4310,200,"Concealers",7479.16,7.4
4310,200,"Revealers",6456.78,7
4311,200,"Concealers",8125.66,7.64
4311,200,"Revealers",5894.06,6.66
4312,200,"Concealers",9085.64,8.16
4312,200,"Revealers",5822.22,6.7
4313,200,"Concealers",6879.52,7
4313,200,"Revealers",5323.58,6.38
4314,200,"Concealers",5878.3,6.26
4314,200,"Revealers",3503.72,5.42
4315,200,"Concealers",7737.52,7.52
4315,200,"Revealers",5506.56,6.52
4316,200,"Concealers",6405.78,6.72
4316,200,"Revealers",4438.82,5.76
4317,200,"Concealers",6586.48,6.9
4317,200,"Revealers",4863.32,6.26
4318,200,"Concealers",7250.96,7.26
4318,200,"Revealers",4778.34,5.98
4319,200,"Concealers",7532.72,7.42
4319,200,"Revealers",4718.62,6.16
4320,200,"Concealers",6829.62,7.04
4320,200,"Revealers",4951.06,6.12
4321,200,"Concealers",7883.16,7.68
4321,200,"Revealers",6480.86,6.94
4322,200,"Concealers",7528.68,7.4
4322,200,"Revealers",6233.58,6.76
