"Run","Sens","Strategy","PI","RS"
585,1,"Concealers",6498.99,6.79
585,1,"Revealers",0,0
586,1,"Concealers",5486.86,6.31
586,1,"Revealers",0,0
587,1,"Concealers",6207.35,6.83
587,1,"Revealers",0,0
588,1,"Concealers",6170.49,6.69
588,1,"Revealers",0,0
589,1,"Concealers",5967.63,6.57
589,1,"Revealers",0,0
590,1,"Concealers",4985.64,5.94
590,1,"Revealers",0,0
591,1,"Concealers",6578.82,6.98
591,1,"Revealers",0,0
592,1,"Concealers",6047.91,6.7
592,1,"Revealers",0,0
593,1,"Concealers",6384.19,6.76
593,1,"Revealers",0,0
594,1,"Concealers",5710.36,6.41
594,1,"Revealers",0,0
595,1,"Concealers",6318.63,6.76
595,1,"Revealers",0,0
596,1,"Concealers",5628.44,6.49
596,1,"Revealers",0,0
597,1,"Concealers",5625.13,6.45
597,1,"Revealers",0,0
598,1,"Concealers",6508.21,6.87
598,1,"Revealers",0,0
599,1,"Concealers",6889.66,7.03
599,1,"Revealers",0,0
600,1,"Concealers",6731.94,6.95
600,1,"Revealers",0,0
1001,0.8,"Concealers",6399.9625,6.7625
1001,0.8,"Revealers",5042.1,6.1
1002,0.8,"Concealers",5013.875,6.075
1002,0.8,"Revealers",3529,5.5
1003,0.8,"Concealers",5906.1,6.7
1003,0.8,"Revealers",5904.75,6.45
1004,0.8,"Concealers",6738.175,7.05
1004,0.8,"Revealers",6905.95,7.05
1005,0.8,"Concealers",5152.5625,6.1
1005,0.8,"Revealers",4891.05,6
1006,0.8,"Concealers",6193.275,6.7875
1006,0.8,"Revealers",6689.9,7.15
1007,0.8,"Concealers",6876.6125,7.0625
1007,0.8,"Revealers",5546.3,6.35
1008,0.8,"Concealers",5886.3375,6.5625
1008,0.8,"Revealers",4001.5,5.6
1009,0.8,"Concealers",5593.4875,6.3125
1009,0.8,"Revealers",4124.2,5.75
1010,0.8,"Concealers",5919.7,6.6125
1010,0.8,"Revealers",5368.85,6.2
1011,0.8,"Concealers",6052.575,6.525
1011,0.8,"Revealers",4142.95,5.65
1012,0.8,"Concealers",5557.6875,6.4
1012,0.8,"Revealers",5181.8,6.3
1013,0.8,"Concealers",5951.3375,6.675
1013,0.8,"Revealers",5103.1,6.3
1014,0.8,"Concealers",6895.225,7.175
1014,0.8,"Revealers",5225.85,6.4
1015,0.8,"Concealers",6278.025,6.7875
1015,0.8,"Revealers",6657.9,6.75
1016,0.8,"Concealers",7655.5875,7.5
1016,0.8,"Revealers",7138,7.2
1017,0.8,"Concealers",6276.825,6.85
1017,0.8,"Revealers",5077.8,6.2
1018,0.8,"Concealers",6824.05,7.05
1018,0.8,"Revealers",6226.6,6.85
1019,0.8,"Concealers",5253.9125,6.125
1019,0.8,"Revealers",4721.6,5.9
1020,0.8,"Concealers",6126.6,6.7125
1020,0.8,"Revealers",5289.4,6.3
