"BehaviorSpace results (NetLogo 6.1.0)"
"OvModel_updatedForNetlogo6.nlogo"
"Experiment 3 (Aggression Towards Ovulating)"
"04/30/2020 19:31:52:576 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","1","1","1","1","2","2","2","2"
"prop_m_promiscuity","20",,,,"20",,,
"f_detectOv?","true",,,,"true",,,
"sd_female_MV","10",,,,"10",,,
"num_males","100",,,,"100",,,
"competitor_radius","2",,,,"2",,,
"search_radius","2",,,,"2",,,
"ad_decay","0.01",,,,"0.01",,,
"initial_f_mod","1.25",,,,"1.25",,,
"costO_aggress","10",,,,"10",,,
"AcSig_num","50",,,,"50",,,
"FertConceal_num","50",,,,"50",,,
"decrement","true",,,,"false",,,
"prop_f_aggress","100",,,,"100",,,
"show-males_on_patch?","false",,,,"false",,,
,"16.76","32.3","0","0","7.84","45.96","0","0"
,"17.14","33.16","0","0","8","47.1","0","0"
,"17.5","34.02","0","0","8.16","48.12","0","0"
,"17.9","34.94","0","0","8.42","49.22","0","0.02"
,"18.26","35.8","0","0","8.74","49.42","0","0.02"
,"18.64","36.7","0","0","8.92","49.62","0","0.02"
,"19.08","37.62","0","0","9.3","49.82","0","0.02"
,"19.38","38.58","0","0","9.48","49.98","0","0.02"
,"19.72","39.54","0","0","9.72","50.18","0","0.02"
,"20","40.5","0","0","10.02","50.32","0","0.02"
,"20.38","41.44","0","0","10.36","50.5","0","0.02"
,"20.72","42.34","0","0","10.54","51.54","0","0.02"
,"21.16","43.28","0","0","10.74","51.72","0","0.02"
,"21.5","44.2","0","0","11.18","52.76","0","0.02"
,"21.88","45.1","0","0","11.4","52.98","0","0.02"
,"22.34","46.06","0","0","11.7","53.12","0","0.02"
,"22.76","46.98","0","0","11.94","53.26","0","0.02"
,"23.16","47.88","0","0","12.16","53.42","0","0.02"
,"23.58","48.84","0","0","12.4","53.58","0","0.02"
,"23.98","49.76","0","0","12.84","53.76","0","0.02"
,"24.4","50.74","0","0","13.14","53.92","0","0.02"
,"24.8","51.72","0","0","13.42","54.12","0","0.02"
,"25.26","52.62","0","0","13.64","54.34","0","0.02"
,"25.68","53.62","0","0","13.9","54.54","0","0.02"
,"26.14","54.54","0","0.02","14.2","54.74","0","0.02"
,"26.56","54.82","0","0.02","14.38","54.98","0","0.02"
,"26.98","55.1","0","0.02","14.58","55.16","0","0.02"
,"27.5","55.26","0","0.02","14.84","55.36","0","0.02"
,"27.94","55.5","0","0.02","15.22","55.52","0","0.02"
,"28.38","55.7","0","0.02","15.52","56.56","0","0.02"
,"28.8","55.96","0","0.02","15.86","56.76","0","0.02"
,"29.22","56.9","0","0.02","16.1","56.96","0","0.02"
,"29.62","57.84","0","0.02","16.34","57.18","0","0.02"
,"30.08","58.8","0","0.02","16.58","57.36","0","0.02"
,"30.58","59","0","0.02","16.9","58.42","0","0.02"
,"31.08","59.84","0","0.02","17.12","58.64","0","0.02"
,"31.54","60.8","0","0.02","17.54","58.88","0","0.02"
