ID,Sex,mate_value,male_promiscuity,num_matings,num_unique_mates,mate_switching
138,male,54.46301728,100,1235,94,879
139,male,52.33515599,0,13880,75,11414
140,male,55.56738191,0,24416,84,20022
141,male,51.42999429,100,2833,80,2518
142,male,52.87786139,0,15696,79,12189
143,male,59.53406567,100,9263,100,8156
144,male,45.18094199,0,73,4,7
145,male,54.28067525,0,20099,84,16691
146,male,54.10162462,0,22815,81,19313
147,male,41.83649069,0,359,15,31
148,male,57.03625423,100,5104,99,4466
149,male,54.58134469,0,12019,78,7808
150,male,61.91709177,0,21460,88,15868
151,male,53.18013653,100,1591,87,1293
152,male,47.85333417,0,1484,23,423
153,male,46.01495992,0,429,19,71
154,male,52.94899206,0,12051,80,8478
155,male,47.5146684,0,4583,59,2513
156,male,47.42309852,0,697,19,457
157,male,53.02307036,0,9436,72,7007
158,male,45.20296631,0,285,10,170
159,male,53.95706223,0,24561,80,21540
160,male,50.22033465,0,1602,23,1022
161,male,55.78115654,0,19251,86,14049
162,male,56.78317381,100,3805,98,2896
163,male,48.69912583,0,1210,24,283
164,male,46.20403557,0,1813,37,148
165,male,50.76604358,0,3057,39,1621
166,male,55.02013052,0,20148,80,16296
167,male,45.00286152,0,860,33,299
168,male,50.6670801,100,746,83,539
169,male,49.29844954,0,2952,40,1859
170,male,52.38006041,0,6785,68,4521
171,male,51.69683629,0,9693,68,8275
172,male,53.99912387,0,9114,70,4593
173,male,51.83621059,0,13275,67,11487
174,male,47.91979431,0,2961,30,1580
175,male,49.74947393,0,182,9,105
176,male,39.66882552,0,2995,55,1709
177,male,53.30681805,100,1809,85,1451
178,male,48.43781734,0,4094,48,2977
179,male,52.72432792,0,14281,70,10988
180,male,49.50529304,100,454,74,325
181,male,51.36153233,0,5858,69,3596
182,male,48.18464598,0,1657,36,737
183,male,52.40681404,0,10076,77,7211
184,male,42.61104455,0,4311,35,2994
185,male,43.78151038,0,12,2,1
186,male,50.74579578,0,5289,60,3220
187,male,62.84718916,100,10609,100,9315
188,male,54.56564722,0,16992,81,13355
189,male,52.92098746,100,1385,88,1167
190,male,49.93541458,100,810,77,685
191,male,48.29102343,0,3529,35,2903
192,male,59.04766687,0,26392,81,22548
193,male,50.75154232,0,4863,37,3682
194,male,49.04038141,0,1706,31,386
195,male,50.2683742,0,2980,41,1474
196,male,43.03986338,0,1816,22,1044
197,male,44.33244395,0,147,19,99
198,male,60.15742865,0,13412,84,7661
199,male,54.92980293,0,15163,78,10001
